DOI,Document title,Abstract
10.1145/3649158.3657034,BlueSky: How to Raise a Robot - A Case for Neuro-Symbolic AI in Constrained Task Planning for Humanoid Assistive Robots,"Humanoid robots will be able to assist humans in their daily life, in particular due to their versatile action capabilities. However, while these robots need a certain degree of autonomy to learn and explore, they also should respect various constraints, for access control and beyond. We explore the novel field of incorporating privacy, security, and access control constraints with robot task planning approaches. We report preliminary results on the classical symbolic approach, deep-learned neural networks, and modern ideas using large language models as knowledge base. From analyzing their trade-offs, we conclude that a hybrid approach is necessary, and thereby present a new use case for the emerging field of neuro-symbolic artificial intelligence."
10.1145/3772077,LUMEN: Enhancing IoT System Observability with Multi-Agent Large Language Models and Knowledge Graphs,"The rapid expansion of Internet of Things (IoT) systems has transformed industries through real-time monitoring and automation, generating vast and heterogeneous data streams. As IoT networks expand, the increasing volume and diversity of data, spanning real-time telemetry, device logs, and historical records, complicate the management of IoT systems, including system monitoring, analysis, and reasoning. To address this challenge, we introduce LUMEN (Large Language Models as Unified Multi-Agent Systems for IoT ENhancement), a novel approach combining multi-agent Large Language Models (LLMs), knowledge graphs, and heterogeneous databases to enable cognitive digital twins for IoT observability. LUMEN models IoT systems as knowledge graphs, capturing device relationships and metadata while monitoring data is stored in time-series or object databases. Specialized LLM-based agents collaborate dynamically to analyze IoT systems and explain the findings in natural language, generating and executing analysis code when necessary. Integrated with off-the-shelf network monitoring tools, LUMEN facilitates semantic reasoning and human-in-the-loop collaboration, delivering adaptive insights across diverse data contexts. Two industrial case studies demonstrate the ability of LUMEN to automate analysis workflows, enhance system adaptability, and provide interpretable analytics. This work advances IoT observability by integrating LLMs, semantic intelligence, and explainable analytics into a scalable and adaptive solution using a multi-agent architecture for complex IoT systems."
10.14778/3750601.3750611,"SagaLLM: Context Management, Validation, and Transaction Guarantees for Multi-Agent LLM Planning","This paper introduces SagaLLM, a structured multi-agent architecture designed to address four foundational limitations of current LLM-based planning systems: unreliable self-validation, context loss, lack of transactional safeguards, and insufficient inter-agent coordination. While recent frameworks leverage LLMs for task decomposition and multi-agent communication, they often fail to ensure consistency, rollback, or constraint satisfaction across distributed workflows. SagaLLM bridges this gap by integrating the Saga transactional pattern with persistent memory, automated compensation, and independent validation agents. It leverages LLMs' generative reasoning to automate key tasks traditionally requiring hand-coded coordination logic, including state tracking, dependency analysis, log schema generation, and recovery orchestration. Although SagaLLM relaxes strict ACID guarantees, it ensures workflow-wide consistency and recovery through modular checkpointing and compensable execution. Empirical evaluations across planning domains demonstrate that standalone LLMs frequently violate interdependent constraints or fail to recover from disruptions. In contrast, SagaLLM achieves significant improvements in consistency, validation accuracy, and adaptive coordination under uncertainty—establishing a robust foundation for real-world, scalable LLM-based multi-agent systems."
10.1145/3769111,Conformal Temporal Logic Planning using Large Language Models,"This paper addresses temporal logic task planning problems for mobile robots. We consider missions that require accomplishing multiple high-level sub-tasks, expressed in natural language (NL), in a temporal and logical order. To formally define the mission, we treat these sub-tasks as atomic predicates in a Linear Temporal Logic (LTL) formula. We refer to this task specification framework as LTL-NL. Our goal is to design plans, defined as sequences of robot actions, accomplishing LTL-NL tasks. This action planning problem cannot be solved directly by existing LTL planners due to the NL nature of atomic predicates. Therefore, we propose HERACLEs, a hierarchical neuro-symbolic planner that relies on a novel integration of (i) existing symbolic planners generating high-level task plans determining the order at which the NL sub-tasks should be accomplished; (ii) pre-trained Large Language Models (LLMs) to design sequences of robot actions for each sub-task in these task plans; and (iii) conformal prediction acting as a formal interface between (i) and (ii) and managing uncertainties due to LLM imperfections. We show, both theoretically and empirically, that HERACLEs can achieve user-defined mission success rates. We demonstrate the efficiency of HERACLEs through comparative numerical experiments against recent LLM-based planners as well as hardware experiments on mobile manipulation tasks. Finally, we present examples demonstrating that our approach enhances user-friendliness compared to conventional symbolic approaches."
10.1145/3691620.3695336,Towards LLM-augmented multiagent systems for agile software engineering,"A cognitive multi-agent ecosystem designed for efficient software engineering using Agile methodologies can significantly improve software development processes. Key components include the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs), utilizing Dynamic Context techniques for agent profiling, and Theory of Mind to enhance collaboration. The CogniSim Ecosystem analyzes problems, proposes solutions, constructs and validates plans, and coordinates specialized agents playing roles such as developers, executors, quality checkers, and methodology reviewers. These agents produce documentation, models, and diagrams (e.g., UML) while adhering to predefined quality and performance measures. The ecosystem also simulates the impact of various team configurations on problem-solving effectiveness, helping organizations identify optimal team structures. Case studies and simulations demonstrate its practical applications."
10.1145/3760269.3760299,Outdoor Multi-UAV Collaborative Task Planning System Based on Multi-Agent and Improved PPO Algorithm,"Aiming at the problem of task collaboration and path planning for multi-agent drones in unknown environments, this paper proposes a multi-agent collaborative planning architecture that integrates a large language model (LLM) and a multimodal (MM) perception network, which is used for executing the multi-agent tasks in outdoor environments. This paper innovatively proposes an improved Proximal Policy Optimization (PPO) algorithm for path planning. Through a structured reward function and a joint strategy sharing mechanism, the path planning among multiple drones were efficiently achieved. The system in this paper innovatively proposes a loop intelligent control process called UTTUT (User Instruction, Task Graph Generation, Task Allocation, UAV Feedback, and Task Graph Updating), as well as a  ({P}^3)  (Perception, Planning, Prompt) factor graph model. Theoretically analyzes the interpretability of large model collaborative task planning. The Doubao large language model is introduced as the central control unit, and the Grounding DINO perception model is deployed at the drone end. By combining RGBD, semantic information, and asynchronous scheduling task factors, the perception and positioning of targets in complex scenes are realized. In addition, this paper compares the performances of different large model collaborative frameworks and gets the optimal large model control scheme results. Simulations are carried out on different platforms to verify the superiority of the framework proposed in this paper."
10.1145/3698587.3701359,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,"Large Language Models (LLMs) and multi-agent systems have shown impressive capabilities in natural language tasks but face challenges in clinical trial applications, primarily due to limited access to external knowledge. Recognizing the potential of advanced clinical trial tools that aggregate and predict based on the latest medical data, we propose an integrated solution to enhance their accessibility and utility. We introduce Clinical Agent System (ClinicalAgent), a clinical multi-agent system designed for clinical trial tasks, leveraging GPT-4, multi-agent architectures, LEAST-TO-MOST, and ReAct reasoning technology. This integration not only boosts LLM performance in clinical contexts but also introduces novel functionalities. The proposed method achieves competitive predictive performance in clinical trial outcome prediction (0.7908 PR-AUC), obtaining a 0.3326 improvement over the standard prompt Method. Publicly available code can be found at https://github.com/LeoYML/clinical-agent."
10.1145/3746059.3747681,StorySage: Conversational Autobiography Writing Powered by a Multi-Agent Framework,"Every individual carries a unique and personal life story shaped by their memories and experiences. However, these memories are often scattered and difficult to organize into a coherent narrative—a challenge that defines the task of autobiography writing. Existing conversational writing assistants tend to rely on generic user interactions and pre-defined guidelines, making it difficult for these systems to capture personal memories and develop a complete biography over time. We introduce StorySage, a user-driven software system designed to meet the needs of a diverse group of users that supports a flexible conversation and a structured approach to autobiography writing. Powered by a multi-agent framework composed of an Interviewer, Session Scribe, Planner, Section Writer, and Session Coordinator, our system iteratively collects user memories, updates their autobiography, and plans for future conversations. In experimental simulations, StorySage demonstrates its ability to navigate multiple sessions and capture user memories across many conversations. User studies (N = 28) highlight how StorySage maintains improved conversational flow, narrative completeness, and higher user satisfaction when compared to a baseline. In summary, StorySage contributes both a novel architecture for autobiography writing and insights into how multi-agent systems can enhance human-AI creative partnerships."
10.1145/3760658.3760664,Gap-Guided Evolutionary Deep Reinforcement Learning for Hierarchical Navigation in Structured Dynamic Environments,"Multi-agent collision avoidance—where an ego-robot must navigate from a start pose to a goal pose while avoiding both static obstacles and dynamic agents—is a longstanding challenge in motion planning. Recently, reinforcement learning (RL) has been explored for this task, but most RL-based solutions address simplified scenarios, often omitting complex static obstacles and focusing primarily on dynamic agent avoidance. Consequently, these approaches are unsuitable for structured environments such as mazes or indoor layouts with significant static geometry. To address this limitation, we integrate a multi-agent collision avoidance policy—specifically the GPU-accelerated Asynchronous Advantage Actor-Critic for Collision Avoidance (Evolution GA3C-CADRL) [4]—within a hierarchical navigation framework. Our method incorporates a local waypoint planner that leverages global navigation plans and real-time sensor data to generate short-term waypoints, ensuring clear paths devoid of static obstacles between the agent and the next target. This architecture effectively mitigates the original model’s inability to handle static constraints. The full system integrates global planning, perception-informed gap-based waypoint generation, and deep RL for local control. We empirically evaluate our hierarchical planner across five structured environments and demonstrate that the integrated waypoint + RL approach consistently reduces collision rates and improves goal-reaching success compared to the standalone RL model. Results show substantial improvements in both navigation robustness and success rate under realistic, complex scenarios."
10.1145/3703323.3704277,MEQA - A Multi-modal Interactive Enterprise Query Answering System using Multi-Agent LLM,"This paper introduces a new architecture for multi-agent systems designed to support query answering over secure enterprise data. The system uses a modular approach to natural language understanding and task execution, utilizing specialized agents for query processing. Our system features a Multi-Agent Block that consists of agents for general inquiries, Text2SQL, visualization, and information consolidation. These agents work together to handle complex queries. The Answer Generation component then integrates these results into coherent responses. We demonstrate our system’s efficiency using a complex query processed by a Text2SQL agent. In this scenario, the agent interacts with multiple endpoints, including an enterprise database and LLM endpoints, while employing techniques like RISE (Recursive Introspection for Results Improvements) and STaR (Self-Taught Reasoner) to enhance reasoning. Additionally, we use an open-source utility, LLMLingua, to compress prompts and reduce computational overhead. Our approach shows strong performance across various retrieval tasks, offering a significant step toward more intuitive and efficient data interaction, with the potential to transform how organizations utilize large language models, multiple agents, and data assets."
