DOI,Document title,Abstract
,,
,,
,,
,,
,,
,,
,LLM-Deliberation: Evaluating LLMs with Interactive Multi-Agent Negotiation Games,
,Large language models are in-context semantic reasoners rather than symbolic reasoners,
,,
,Robots that ask for help: Uncertainty alignment for large language model planners,
,,
,,
,Leveraging commonsense knowledge from large language models for task and motion planning,
,,
,,
,,
,,
,,
,Tptu: Task planning and tool usage of large language model-based ai agents,
,Planning with large language models via corrective re-prompting,
,Sayplan: Grounding large language models using 3d scene graphs for scalable task planning,
,,
,,
,Enabling intelligent interactions between an agent and an LLM: A reinforcement learning approach,
,,
,,
,Halo: Estimation and reduction of hallucinations in open-source weak large language models,
,,
,,
,,
,,
,,
,,
,Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,"Recent works successfully leveraged Large Language Models' (LLM) abilities to capture abstract knowledge about world's physics to solve decision-making problems. Yet, the alignment between LLMs' knowledge and the environment can be wrong and limit functional competence due to lack of grounding. In this paper, we study an approach (named GLAM) to achieve this alignment through functional grounding: we consider an agent using an LLM as a policy that is progressively updated as the agent interacts with the environment, leveraging online Reinforcement Learning to improve its performance to solve goals. Using an interactive textual environment designed to study higher-level forms of functional grounding, and a set of spatial and navigation tasks, we study several scientific questions: 1) Can LLMs boost sample efficiency for online learning of various RL tasks? 2) How can it boost different forms of generalization? 3) What is the impact of online learning? We study these questions by functionally grounding several variants (size, architecture) of FLAN-T5. © 2023 Proceedings of Machine Learning Research. All rights reserved."
,,
,,
,Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents,"Can world knowledge learned by large language models (LLMs) be used to act in interactive environments? In this paper, we investigate the possibility of grounding high-level tasks, expressed in natural language (e.g. “make breakfast”), to a chosen set of actionable steps (e.g. “open fridge”). While prior work focused on learning from explicit step-by-step examples of how to act, we surprisingly find that if pre-trained LMs are large enough and prompted appropriately, they can effectively decompose high-level tasks into mid-level plans without any further training. However, the plans produced naively by LLMs often cannot map precisely to admissible actions. We propose a procedure that conditions on existing demonstrations and semantically translates the plans to admissible actions. Our evaluation in the recent VirtualHome environment shows that the resulting method substantially improves executability over the LLM baseline. The conducted human evaluation reveals a trade-off between executability and correctness but shows a promising sign towards extracting actionable knowledge from language models. Copyright © 2022 by the author(s)"
,,
,,
,,
,,
,"VAL: Automatic plan validation, continuous effects and mixed initiative planning using PDDL","This paper describes aspects of our plan validation tool, VAL. The tool was initially developed to support the 3rd International Planning Competition, but has subsequently been extended in order to exploit its capabilities in plan validation and development. In particular, the tool has been extended to include advanced features of PDDL2.1 which have proved important in mixed-initiative planning in a space operations project. Amongst these features, treatment of continuous effects is the most significant, with important effects on the semantic interpretation of plans. The tool has also been extended to keep abreast of developments in PDDL, providing critical support to participants and organisers of the 4th IPC. © 2004 IEEE."
,,
,REFLECT: Summarizing robot experiences for failure explanation and correction,
,,
,,
,,
,,
,,
