DOI,Document title,Abstract
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,[No abstract available]
,,"The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.0 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. © 2017 Neural information processing systems foundation. All rights reserved."
10.1002/wcs.1488,,"ACT-R is a hybrid cognitive architecture. It is comprised of a set of programmable information processing mechanisms that can be used to predict and explain human behavior including cognition and interaction with the environment. We start by reviewing its history, which shapes its current form, contrasts and relates it to other architectures, and helps readers to anticipate where it is going. Based on this history, we then describe it as a theory of cognition that is realized as a computer program. After this, we briefly discuss tools for working with ACT-R, and also note several major accomplishments that have been gained by working with ACT-R in both basic and applied science, including summarizing some of the insights about human behavior. We conclude by discussing its future, which we believe will include adding emotions and physiology, increasing usability, and the use of nongenerative models. This article is categorized under: Computer Science > Artificial Intelligence Psychology > Reasoning and Decision Making Psychology > Theory and Methods. © 2018 Wiley Periodicals, Inc."
10.1038/s41562-023-01659-w,,"The recent advent of large language models has reinvigorated debate over whether human cognitive capacities might emerge in such generic models given sufficient training data. Of particular interest is the ability of these models to reason about novel problems zero-shot, without any direct training. In human cognition, this capacity is closely tied to an ability to reason by analogy. Here we performed a direct comparison between human reasoners and a large language model (the text-davinci-003 variant of Generative Pre-trained Transformer (GPT)-3) on a range of analogical tasks, including a non-visual matrix reasoning task based on the rule structure of Raven’s Standard Progressive Matrices. We found that GPT-3 displayed a surprisingly strong capacity for abstract pattern induction, matching or even surpassing human capabilities in most settings; preliminary tests of GPT-4 indicated even better performance. Our results indicate that large language models such as GPT-3 have acquired an emergent ability to find zero-shot solutions to a broad range of analogy problems. © 2023, The Author(s), under exclusive licence to Springer Nature Limited."
10.1109/EIECS63941.2024.10799986,,"Although Large Language Models (LLMs) have achieved significant results in the field of natural language processing, there are still challenges in handling long-term memory in open domain dialogue systems. Processing lengthy conversation histories requires a significant amount of computational resources, which limits the input window of LLM and makes it unable to effectively handle tasks that require long-term memory. To this end, this article proposes a memory enhancement mechanism based on behavioral memory, which enhances the long-term memory ability of LLM by extracting, storing, and retrieving key behavioral information from conversations through association. This method does not require modifying the internal structure of LLM and is compatible with various open source and closed source models. We conducted experiments on the Generated Virtual Dataset and the results showed that compared to methods based on abstracts and vector databases, the behavioral memory mechanism significantly improved memory retrieval accuracy, response accuracy, and contextual coherence.  © 2024 IEEE."
