DOI,Source title,Abstract,REASON
10.1002/aaai.12128,AI Magazine,"The development of artificial intelligence (AI) agents capable of human-level understanding of video content and conducting conversations with humans on this basis is a promising application that people expect. However, this is a challenging task that requires the holistic integration of multimodal information with temporal dependencies and reasoning, as well as social and physical commonsense. In addition, the development of appropriate systematic evaluation methods is essential. In this context, we introduce the Video Turing Test (VTT), a blind test used to evaluate human-likeness in terms of video comprehension ability. Moreover, we propose Vincent as a video understanding AI. We explain the configuration of VTT, the architecture of Vincent to prepare for VTT and the proposed evaluation methods for video comprehension. We also estimate the current intelligence level of AI based on our results and discuss future research directions. © 2024 Elsevier B.V., All rights reserved.",TOPIC
10.1002/adhm.202200249,Advanced Healthcare Materials,"The initial contact with blood and its components, including plasma proteins and platelets, directs the body's response to foreign materials. Natural scaffolds of extracellular matrix or fibrin contain fibrils with nanoscale dimensions, but how platelets specifically respond to the topography and architecture of fibrous materials is still incompletely understood. Here, planar and nanofiber scaffolds are fabricated from native fibrinogen to characterize the morphology of adherent platelets and activation markers for phosphatidylserine exposure and α-granule secretion by confocal fluorescence microscopy and scanning electron microscopy. Different fibrinogen topographies equally support the spreading and α-granule secretion of washed platelets. In contrast, preincubation of the scaffolds with plasma diminishes platelet spreading on planar fibrinogen surfaces but not on nanofibers. The data show that the enhanced interactions of platelets with nanofibers result from a higher locally accessible surface area, effectively increasing the ligand density for integrin-mediated responses. Overall, fibrinogen nanofibers direct platelets toward robust adhesion formation and α-granule secretion while minimizing their procoagulant activity. Similar results on fibrinogen-coated polydimethylsiloxane substrates with micrometer-sized 3D features suggest that surface topography could be used more generally to steer blood-materials interactions on different length scales for enhancing the initial wound healing steps. © 2023 Elsevier B.V., All rights reserved.",TOPIC
10.1002/advs.202309392,Advanced Science,"MXene-based thermal camouflage materials have gained increasing attention due to their low emissivity, however, the poor anti-oxidation restricts their potential applications under complex environments. Various modification methods and strategies, e.g., the addition of antioxidant molecules and fillers have been developed to overcome this, but the realization of long-term, reliable thermal camouflage using MXene network (coating) with excellent comprehensive performance remains a great challenge. Here, a MXene-based hybrid network comodified with hyaluronic acid (HA) and hyperbranched polysiloxane (HSi) molecules is designed and fabricated. Notably, the presence of appreciated HA molecules restricts the oxidation of MXene sheets without altering infrared stealth performance, superior to other water-soluble polymers; while the HSi molecules can act as efficient cross-linking agents to generate strong interactions between MXene sheets and HA molecules. The optimized MXene/HA/HSi composites exhibit excellent mechanical flexibility (folded into crane structure), good water/solvent resistance, and long-term stable thermal camouflage capability (with low infrared emissivity of ≈0.29). The long-term thermal camouflage reliability (≈8 months) under various outdoor weathers and the scalable coating capability of the MXene-coated textile enable them to disguise the IR signal of various targets in complex environments, indicating the great promise of achieved material for thermal camouflage, IR stealth, and counter surveillance. © 2024 Elsevier B.V., All rights reserved.",TOPIC
10.1002/advs.202406933,Advanced Science,"Myocardial infarction (MI) continues to be a leading cause of death worldwide. The precise quantification of infarcted tissue is crucial to diagnosis, therapeutic management, and post-MI care. Late gadolinium enhancement-cardiac magnetic resonance (LGE-CMR) is regarded as the gold standard for precise infarct tissue localization in MI patients. A fundamental limitation of LGE-CMR is the invasive intravenous introduction of gadolinium-based contrast agents that present potential high-risk toxicity, particularly for individuals with underlying chronic kidney diseases. Herein, a completely non-invasive methodology is developed to identify the location and extent of an infarct region in the left ventricle via a machine learning (ML) model using only cardiac strains as inputs. In this approach, the remarkable performance of a multi-fidelity ML model is demonstrated, which combines rodent-based in-silico-generated training data (low-fidelity) with very limited patient-specific human data (high-fidelity) in predicting LGE ground truth. The results offer a new paradigm for developing feasible prognostic tools by augmenting synthetic simulation-based data with very small amounts of in vivo human data. More broadly, the proposed approach can significantly assist with addressing biomedical challenges in healthcare where human data are limited. © 2025 Elsevier B.V., All rights reserved.",TOPIC
10.1002/advs.202507952,Advanced Science,"The advent of nanomedicine is profoundly revolutionizing conventional paradigms in cancer therapeutics. Selected formulations encompassing lipid nanoparticles and polymeric nanoparticles have already attained regulatory approval for clinical treatment. Nonetheless, achieving precise spatiotemporal control of exogenous nanomedicine within intricate physiological environments remains a formidable challenge. Drawing inspiration from evolutionarily optimized natural biological architectures, the development of biomembrane-derived nanostructures with unique biological activities provides a new impetus for designing personalized antitumor drugs. Biomembrane-derived constituents, particularly cell membrane, extracellular vesicles, and other bioactive payloads, have inherited their precise targeting, specific tumor killing, and dynamic tumor immunosuppressive microenvironments remodeling properties in antitumor intervention. Here, the diverse biomembrane engineering strategies to equip the biomembrane with plentiful functionalities are highlighted. Moreover, the cutting-edge innovations of mammalian cells/bacteria/plants-derived biomembrane nanostructures and their applications for advancing cancer nanomedicine development are systematically reviewed. Finally, the current challenges and future opportunities are proposed to realize the whole potential of biomembrane nanomedicine toward clinical transformation. © 2025 Elsevier B.V., All rights reserved.",TOPIC
10.1002/btm2.10383,Bioengineering and Translational Medicine,"Tissue engineering (TE) is currently considered a cutting-edge discipline that offers the potential for developing treatments for health conditions that negatively affect the quality of life. This interdisciplinary field typically involves the combination of cells, scaffolds, and appropriate induction factors for the regeneration and repair of damaged tissue. Cell fate decisions, such as survival, proliferation, or differentiation, critically depend on various biochemical and biophysical factors provided by the extracellular environment during developmental, physiological, and pathological processes. Therefore, understanding the mechanisms of action of these factors is critical to accurately mimic the complex architecture of the extracellular environment of living tissues and improve the efficiency of TE approaches. In this review, we recapitulate the effects that biochemical and biophysical induction factors have on various aspects of cell fate. While the role of biochemical factors, such as growth factors, small molecules, extracellular matrix (ECM) components, and cytokines, has been extensively studied in the context of TE applications, it is only recently that we have begun to understand the effects of biophysical signals such as surface topography, mechanical, and electrical signals. These biophysical cues could provide a more robust set of stimuli to manipulate cell signaling pathways during the formation of the engineered tissue. Furthermore, the simultaneous application of different types of signals appears to elicit synergistic responses that are likely to improve functional outcomes, which could help translate results into successful clinical therapies in the future. © 2023 Elsevier B.V., All rights reserved.",TOPIC
10.1002/btm2.70013,Bioengineering and Translational Medicine,"Managing delivery of complex multidrug infusions in anesthesia and critical care presents a significant clinical challenge. Current practices relying on manual control of infusion pumps often result in unpredictable drug delivery profiles and dosing errors—key issues highlighted by the United States Food and Drug Administration (FDA). To address these issues, we introduce the SMART (synchronized-pump management algorithms for reliable therapies) framework, a novel approach that leverages low Reynolds number drug transport physics and machine learning to accurately manage multidrug infusions in real-time. SMART is activated based on the Shafer number ((Formula presented.)), a novel non-dimensional number that quantifies the relative magnitude of a drug's therapeutic action timescale to its transport timescale within infusion manifolds. SMART is useful when (Formula presented.), where drug transport becomes the rate limiting step in achieving the desired therapeutic effects. When activated, SMART monitors multidrug concentrations within infusion manifolds and leverages this information to perform end-to-end management of drug delivery using an ensemble of deterministic and deep reinforcement learning (RL) decision networks. Notably, SMART RL networks employ differentially sampled split buffer architecture that accelerates learning and improves performance by seamlessly combining deterministic predictions with RL experience during training. SMART deployed in standalone infusion pumps under simulated clinical conditions outperformed state-of-the-art manual control protocols. This framework has the potential to revolutionize critical care by enhancing accuracy of medication delivery and reducing cognitive workloads. Beyond critical care, the ability to accurately manage multi-liquid delivery via complex manifolds will have important bearings for manufacturing and process control. © 2025 Elsevier B.V., All rights reserved.",TOPIC
10.1002/cae.20094,Computer Applications in Engineering Education,"This article describes the environment used in the Computer Architecture Department of the Technical University of Madrid (UPM) for managing small laboratory work projects and a specifie application for an Assembly Language Programming Laboratory. The approach is based on a chain of tools that a small team of teachers can use to efficiently manage a course with a large number of students (400 per year). Students use this tool chain to complete their assignments using an MC88110 CPU simulator also developed by the Department. Students use a Delivery Agent tool to send files containing their implementations. These files are stored in one of the Department servers. Every student laboratory assignment is tested by an Automatic Project Evaluator that executes a set of previously designed and configured tests. These tools are used by teachers to manage mass courses thereby avoiding restrictions on students working on the same assignment. This procedure may encourage students to copy others' laboratory work and we have therefore developed a complementary tool to help teachers find ""replicated"" laboratory assignment implementations. This tool is a plagiarism detection assistant that completes the tool-chain functionality. Jointly, these tools have demonstrated over the last decade that important benefits can be gained from the exploitation of a global laboratory work management system. Some of the benefits may be transferable to an area of growing importance that we have not directly explored, i.e. distance learning environments for technical subjects. © 2007 Wiley Periodicals, Inc. © 2008 Elsevier B.V., All rights reserved.",TOPIC
10.1002/cpe.8348,Concurrency and Computation: Practice and Experience,"Cross-resolution person re-identification (CR-ReID) seeks to overcome the challenge of retrieving and matching specific person images across cameras with varying resolutions. Numerous existing studies utilize established CNNs and ViTs to resize captured low-resolution (LR) images and align them with high-resolution (HR) image features or construct common feature spaces to match between images of different resolutions. However, these methods ignore the potential feature connection between the LR and HR images of the same pedestrian identity. Besides, the CNNs or ViTs usually obtain outliers within the attention maps of LR images; this inclination to excessively concentrate on anomalous information may obscure the genuine and anticipated characteristics between images, which makes it challenging to extract meaningful information from the images. In this work, we propose the abnormal feature elimination and reconfiguration Transformer (ARTransformer), a novel network architecture for robust cross-resolution person re-identification tasks. This method uses a resolution feature discriminator to learn resolution-invariant features and output feature matrices of images with different resolutions. It then calculates the potential feature relationships between images of pedestrians with the same identity but different resolutions through a new cross-resolution landmark agent attention (CR-LAA) mechanism. Conclusively, it utilizes output feature matrices to model LR and HR image interactions by mitigating abnormal image features and prioritizing attention on the target person by learning representations from input images of various resolutions. Experimental results show that ARTransformer performs well in matching images with different resolutions, even with unseen resolution, and extensive evaluations on four real-world datasets confirm the excellent results of our approach. © 2025 Elsevier B.V., All rights reserved.",TOPIC
10.1002/ett.4842,Transactions on Emerging Telecommunications Technologies,"Multimedia content in 5G/6G networks makes safe, confidential, and efficient content delivery difficult. Intelligent systems that adapt to the ever-changing network environment are needed to distribute multimedia content in these networks. Reinforcement learning (RL) can optimize multimedia content distribution based on network congestion, capacity, and user preferences. This study proposes RL-based intelligent multimedia content distribution. RL algorithms learn from the network environment and generate optimum judgments incorporating several aspects of the suggested framework. The framework delivers multimedia material securely and privately with great quality. This study provides an intelligent multimedia content delivery architecture that uses RL approaches to solve 5G/6G content delivery problems. This research presents an RL system optimized with the double DQN algorithm having a reward of 51604.93 in 7000 episodes for efficient video file sharing on intracity buses. The RL agent balances network congestion and bandwidth by leveraging multiple sources such as bus and intersection caches and base stations, improving secure multimedia content delivery in 5G/6G networks and enhancing the passenger experience. The study confirms the system's effectiveness using reward and loss metrics and identifies potential future research directions. Future work could explore additional RL algorithms, scalability for larger networks, complex delivery scenarios, and integration with blockchain and edge computing for improved security and efficiency in multimedia content delivery. © 2024 Elsevier B.V., All rights reserved.",TOPIC
