DOI,Source title,Abstract,REASON
10.1002/cav.70032,Computer Animation and Virtual Worlds,"This article presents the architecture of MemorIA, an integrative system that combines existing AI technologies into a coherent educational framework for creating interactive historical agents, with the aim of fostering students' learning interest. MemorIA generates animated digital portraits of historical figures, synchronizing facial expressions with synthesized speech to enable natural conversations with students. The system leverages NVIDIA Audio2Face for real-time facial animation with first-order motion model for portrait manipulation, achieving fluid interaction through low-latency audio-visual streaming. To assess our architecture in a field situation, we conducted a pilot study in middle school history classes, where students and teachers engaged in direct conversation with a virtual Julius Caesar during Roman history lessons. Students asked questions about ancient Rome, receiving contextually appropriate responses. While qualitative feedback suggests a positive trend toward increased student participation, some weaknesses and ethical considerations emerged. Based on this assessment, we discuss implementation challenges, suggest architectural improvements, and explore potential applications across various disciplines. © 2025 Elsevier B.V., All rights reserved.",
10.1002/int.22550,International Journal of Intelligent Systems,"This paper presents a grammar-based evolutionary approach that incorporates abstractions to learn complex collective behaviours through their simpler representations. We propose modifications to the grammar syntax design and genome structure to facilitate evolution of abstractions in separate genome partitions. Two abstraction techniques based on behavioural decomposition and environmental scaffolding are presented to derive these simpler representations. Parallel and incremental learning architectures incorporated with grammatical evolution (GE) are investigated with three complex problems to evaluate their potential in generating collective multi-agent behaviours. The results infer that both learning architectures surpass a generic GE model in performance for evolving complex behaviours. Furthermore, using environmental scaffolding reduces the robustness of the model than when only the behavioural decomposition technique is used. However, it has more potential to generate solutions with better fitness than when scaffoldings are not used. The evaluations suggest that, by incorporating abstraction learning architectures with grammar-based evolution can significantly improve the performance of an agent system in complex problem domains. © 2021 Elsevier B.V., All rights reserved.",
10.1002/spe.2345,Software - Practice and Experience,"The increasing demand of computational and storage resources is shifting users toward the adoption of cloud technologies. Cloud computing is based on the vision of computing as utility, where users no more need to buy machines but simply access remote resources made available on-demand by cloud providers. The relationship between users and providers is defined by a service-level agreement, where the non-fulfillment of its terms is regulated by the associated penalty fees. Therefore, it is important that the providers adopt proper monitoring and managing strategies. Despite their reduced application, intelligent agents constitute a feasible technology to add autonomic features to cloud operations. Furthermore, the volunteer computing paradigm - one of the Information and Communications Technology (ICT) trends of the last decade - can be pulled alongside traditional cloud approaches, with the purpose to 'green' them. Indeed, the combination of data center and volunteer resources, managed by agents, allows one to obtain a more robust and scalable cloud computing platform. The increased challenges in designing such a complex system can benefit from a simulation-based approach, to test autonomic management solutions before their deployment in the production environment. However, currently available simulators of cloud platforms are not suitable to model and analyze such heterogeneous, large-scale, and highly dynamic systems. We propose the AVOCLOUDY simulator to fill this gap. This paper presents the internal architecture of the simulator, provides implementation details, summarizes several notable applications, and provides experimental results that measure the simulator performance and its accuracy. The latter experiments are based on real-world worldwide distributed computations on top of the PlanetLab platform. © 2016 Elsevier B.V., All rights reserved.",
10.1002/spe.2778,Software - Practice and Experience,"One desired aspect of microservice architecture is the ability to self-adapt its own architecture and behavior in response to changes in the operational environment. To achieve the desired high levels of self-adaptability, this research implements distributed microservice architecture model running a swarm cluster, as informed by the Monitor, Analyze, Plan, and Execute over a shared Knowledge (MAPE-K) model. The proposed architecture employs multiadaptation agents supported by a centralized controller, which can observe the environment and execute a suitable adaptation action. The adaptation planning is managed by a deep recurrent Q-learning network (DRQN). It is argued that such integration between DRQN and Markov decision process (MDP) agents in a MAPE-K model offers distributed microservice architecture with self-adaptability and high levels of availability and scalability. Integrating DRQN into the adaptation process improves the effectiveness of the adaptation and reduces any adaptation risks, including resource overprovisioning and thrashing. The performance of DRQN is evaluated against deep Q-learning and policy gradient algorithms, including (1) a deep Q-learning network (DQN), (2) a dueling DQN (DDQN), (3) a policy gradient neural network, and (4) deep deterministic policy gradient. The DRQN implementation in this paper manages to outperform the aforementioned algorithms in terms of total reward, less adaptation time, lower error rates, plus faster convergence and training time. We strongly believe that DRQN is more suitable for driving the adaptation in distributed services-oriented architecture and offers better performance than other dynamic decision-making algorithms. © 2020 Elsevier B.V., All rights reserved.",
10.1007/0-387-22829-2_8,IFIP Advances in Information and Communication Technology,"This paper studies issues concerning the application of cooperative information agents to information handling in automation systems. The suggested approach utilizes agent-based layer as an extension to ordinary automation system, thus offering new functions without the need of replacing the existing a utomation system. The proposed architecture u ses a gent-based cooperation methods to enable flexible integration of heterogeneous and distributed data sources and functional or spatial hierarchical division for data abstraction and information filtering. In this case, information agents use BDI-model based manager and data handling modules for information processing. The approach is described with real-life inspired test scenario. © 2005 by International Federation for Information Processing. © 2020 Elsevier B.V., All rights reserved.",
10.1007/0-387-22829-2_9,IFIP Advances in Information and Communication Technology,"In this paper, we focus on validation of Multi-Agent System (MAS) behavior. We describe the simulation architecture and the system design methodology to accomplish the appropriate agent behavior for controlling a real-life automation system. The architecture is explained in the context of an industrial-sized water cooling system. Nevertheless, it is intended to operate in a wide spectrum of control domains. In general, after the design of the control system is accomplished, a set of validation procedures takes place. The current needs are to validate both the control and the agent levels as integrated parts. Hence there is a need to establish a general architecture and methodology for easing the commissioning process of the control solution. © 2005 by International Federation for Information Processing. © 2020 Elsevier B.V., All rights reserved.",
10.1007/0-387-23152-8_3,IFIP Advances in Information and Communication Technology,"The intention of managing agent interactions between agents residing in a virtual collaborative environment is to obtain some useful beliefs that can be used in agent reasoning and decision making in order to optimize further agent interactions. Agent business relationships (such as trust, loyalty, understanding and friendship) are such beliefs. This research provides an approach to the management and application of agent interaction instances. The paper firstly introduces the multi-agent system architecture built in the virtual collaborative environment. Secondly, it presents the interaction protocols designed for the software agents. Then, it describes the design and implementation of the management of interactions. Finally, it depicts a specific belief revision function for personal agents to dynamically update agent business relationships in terms of the management of agent interaction instances. © 2005 by International Federation for Information Processing. © 2020 Elsevier B.V., All rights reserved.",
10.1007/0-387-23198-6_21,IFIP Advances in Information and Communication Technology,"In the policy-based network management, the local policy decision point (LPDP), is used to reach a local decision. This partial decision and the original policy request are next sent to the PDP which renders a final decision. In this paper, we propose to give a real autonomy to the LPDP in term of internal decision and configuration. The LPDP is considered as a learning BDI agent that autonomously adapts the router's behavior to environment changes. © 2005 by International Federation for Information Processing. © 2020 Elsevier B.V., All rights reserved.",
10.1007/1-4020-8139-1_23,IFIP Advances in Information and Communication Technology,"This paper addresses the methodological problem of dynamical supply chain planning in virtual enterprises. The rapid evolution into intelligent supply chains characterized by flexible structuring and dynamical interactions poses a problem of novel planning concepts and models. Our main research focus is elaboration of methodological and technical basis of supply chain analyzing, modeling, structuring and scheduling on the basis of the multi-agent approach as conceptual Integrated planning framework. For its realization we elaborated an agent model and functional architecture of the multi-agent system for intelligent support of collaborative processes in virtual enterprises. A general formulation of dynamic supply chain planning is given. © 2004 Springer Science + Business Media, Inc. © 2020 Elsevier B.V., All rights reserved.",
10.1007/11520184_17,Lecture Notes in Computer Science,"The conceptual architecture of autonomic communications requires a knowledge layer to facilitate effective, transparent and high level self-management capabilities. This pervasive knowledge plane can utilise the behaviour of autonomic communication regimes to monitor and intervene at many differing levels of network granularity. This paper discusses autonomic computing and autonomic communication, before outlining the role of behavioural knowledge in autonomic networks. Some research issues, in particular the concept of dynamic context as a method to acquire knowledge dynamically that will help to facilitate a successful realisation of the knowledge plane are explored and discussed. © Springer-Verlag Berlin Heidelberg 2005. © 2020 Elsevier B.V., All rights reserved.",
