DOI,Document title,Abstract,REASON
10.1002/rob.22374,Optimization-based motion planning for autonomous agricultural vehicles turning in constrained headlands,"Headland maneuvering is a crucial part of the field operations performed by autonomous agricultural vehicles (AAVs). While motion planning for headland turning in open fields has been extensively studied and integrated into commercial autoguidance systems, the existing methods primarily address scenarios with ample headland space and thus may not work in more constrained headland geometries. Commercial orchards often contain narrow and irregularly shaped headlands, which may include static obstacles, rendering the task of planning a smooth and collision-free turning trajectory difficult. To address this challenge, we propose an optimization-based motion planning algorithm for headland turning under geometrical constraints imposed by headland geometry and obstacles. Our method models the headland and the AAV using convex polytopes as geometric primitives, and calculates optimal and collision-free turning trajectories in two stages. In the first stage, a coarse path is generated using either a classical pattern-based turning method or a directional graph-guided hybrid A* algorithm, depending on the complexity of the headland geometry. The second stage refines this coarse path by feeding it into a numerical optimizer, which considers the vehicle's kinematic, control, and collision-avoidance constraints to produce a feasible and smooth trajectory. We demonstrate the effectiveness of our algorithm by comparing it to the classical pattern-based method in various types of headlands. The results show that our optimization-based planner outperforms the classical planner in generating collision-free turning trajectories inside constrained headland spaces. Additionally, the trajectories generated by our planner respect the kinematic and control limits of the vehicle and, hence, are easier for a path-tracking controller to follow. In conclusion, our proposed approach successfully addresses complex motion planning problems in constrained headlands, making it a valuable contribution to the autonomous operation of AAVs, particularly in real-world orchard environments. © 2024 Wiley Periodicals LLC.",TOPIC
10.1016/j.artint.2022.103696,Analyzing generalized planning under nondeterminism,"In automated planning, there has been a recent interest in solving a class of problems, where a single solution applies for multiple, possibly infinitely many, instances. This necessitates a generalized notion of plans, such as plans with loops. However, the correctness of such plans is non-trivial to define, making it difficult to provide a clear specification of what we should be looking for. In an influential paper, Levesque proposed a formal specification for analyzing the correctness of such plans. He motivated a logical characterization within the situation calculus that included binary sensing actions. This characterization argued that from each state considered possible initially, the plan should terminate while satisfying the goal. Increasingly, classical plan structures are being applied to stochastic environments such as robotics applications. This raises the question as to what the specification for correctness should look like, since Levesque's account makes the assumption that actions are deterministic. In this work, we aim to generalize Levesque's account to handle actions with nondeterministic outcomes, which may also be accorded probabilities. By appealing to an extension of the situation calculus to handle probabilistic nondeterminism, we will show that Levesque's definition, as well as a notion of goal achievability proposed by Lin and Levesque, have limited appeal under stochastic nondeterminism. In essence, they correspond to one correct execution, which is unlikely to be adequate. Rather, we propose to delineate between goal satisfaction and termination leading to a range of correctness criteria. To better study these criteria, and to position the results in a broader context while still allowing for the generality of the situation calculus, we consider an abstract framework to study the correctness of plans with loops, in domains that are possibly unbounded, and/or stochastic, and/or continuous. Within that framework, we then prove numerous relationships between the criteria, including some impossibility results for categorically satisfying goals. Finally, we show that these notions provide a more granular view than those discussed in the literature, such as strong planning and strong cyclic planning. © 2022 Elsevier B.V.",TOPIC
10.1016/j.jechem.2025.09.081,Towards artificial intelligence-enabled autonomous battery prognostics and management,"Reliable and safe operation of batteries is increasingly challenged by diverse operating conditions and stringent demands for system resilience. Artificial intelligence (AI) has emerged as a transformative enabler of battery health management, offering capabilities beyond traditional models. This review provides a structured synthesis of recent progress in AI-enabled diagnostics. Advances in state estimation—including state of health (SOH) and remaining useful life (RUL)—are first examined, with methodological breakthroughs identified across diverse task formulations. The evolution of AI architectures is then traced, from conventional neural networks to attention-based Transformers, physics-informed models, and federated learning, with particular attention to emerging paradigms such as foundation models, neuro-symbolic reasoning, and quantum machine learning that promise improved robustness and interpretability. To bridge laboratory innovation with deployment, a domain-adaptive four-stage data pipeline has emerged as a promising framework for real-world BMS signals—spanning operational segmentation, multi-scale denoising, degradation-aware feature engineering, and structured sample construction—designed to enhance generalization under heterogeneous and noisy conditions. Looking forward, a technological roadmap is outlined that integrates edge AI, digital twins, AIOps, quantum computing, wireless sensing, and self-repair systems. Collectively, these innovations transform batteries from passive energy reservoirs into intelligent cyber-physical agents endowed with perception, autonomous decision-making, and resilient fault response—paving the way toward truly battery-centric autonomous energy systems. © 2025 Science Press",TOPIC
10.1016/j.robot.2025.105167,Hybrid of representation learning and reinforcement learning for dynamic and complex robotic motion planning,"Motion planning is the soul of robot decision making. Classical planning algorithms like graph search and reaction-based algorithms face challenges in cases of dense and dynamic obstacles. Deep learning algorithms generate suboptimal one-step predictions that cause many collisions. Reinforcement learning algorithms generate optimal or near-optimal time-sequential predictions. However, they suffer from slow convergence, suboptimal converged results, and unstable training. This paper introduces a hybrid algorithm for robotic motion planning: long short-term memory (LSTM) and skip connection for attention-based discrete soft actor critic (LSA-DSAC). First, graph network (relational graph) and attention network (attention weight) interpret the environmental state for the learning of the discrete soft actor critic algorithm. The expressive power of attention network outperforms that of graph in our task by difference analysis of these two representation methods. However, attention based DSAC faces the problem of unstable training (vanishing gradient). Second, the skip connection method is integrated to attention based DSAC to mitigate unstable training and improve convergence speed. Third, LSTM is taken to replace the sum operator of attention weigh and eliminate unstable training by slightly sacrificing convergence speed at early-stage training. Experiments show that LSA-DSAC outperforms the state-of-the-art in training and most evaluations. Physical robots are also implemented and tested in the real world. © 2025 The Author(s)",TOPIC
10.1049/icp.2025.0650,A supply-demand interaction optimization method based on blockchain and deep reinforcement learning,"With the proposal of the global carbon neutrality goal and the evolution of industrial park energy towards intelligence, traditional power dispatching and supply-demand management approaches have fallen short in meeting the demands for flexibility and precise regulation in modern industrial parks. This paper introduces an optimization method for supply-demand interaction, grounded in blockchain technology and deep reinforcement learning (DRL). By incorporating smart contracts and a multi-level virtual power plant (VPP) architecture, coordinated regulation of power resources and efficient peer-to-peer energy trading both within and beyond the park's confines are achieved. Specifically, the paper delineates the design of a blockchain-based distributed energy management system (DEMS) that integrates multi-agent DRL mechanisms, enhancing the adaptability and response speed of the industrial park. Case studies demonstrate that the proposed method markedly outperforms traditional approaches in terms of flexibility, energy efficiency, and economic benefits, underscoring its extens ive application potential in the future energy management of intelligent industrial parks.",TOPIC
10.1049/icp.2025.2737,Adaptive MPC and nonlinear tracking control for non-holonomic robots in cluttered spaces,"This paper presents the implementation of trajectory planning and control for a non-holonomic robotic platform. Non-holonomic systems introduce significant challenges in motion planning and control due to their kinematic constraints. The proposed approach integrates graph-based path planning with trajectory optimization and employs both nonlinear control and model predictive control (MPC) for accurate trajectory tracking. The kinematic model of a unicycle-type robot is utilized, and two path planners Probabilistic Roadmaps (PRM) and Hybrid A* are evaluated, with Hybrid A* selected for its ability to generate kinematically feasible paths. Trajectory optimization is formulated as a nonlinear optimal control problem, solved using direct single-shooting and multiple-shooting methods, with the latter proving more robust. A quadratic cost function penalizes state and input deviations while enforcing obstacle avoidance through geometric constraints. For trajectory tracking, a nonlinear feedback controller and an MPC-based approach are implemented and compared. Simulation results demonstrate that the nonlinear controller achieves precise tracking, while MPC exhibits robustness with slight oscillations in heading angle regulation. The study concludes that combining optimization-based trajectory planning with advanced control strategies ensures stable and efficient navigation for non-holonomic robots in constrained environments.",TOPIC
10.1049/icp.2025.3124,Cable path optimization and conflict detection of transmission lines based on multi-agent system,"With the continuous expansion of power grid scale and increasing complexity, rational planning of transmission line paths to avoid conflicts with topography, buildings and other facilities has become a key issue in power planning and design. In this paper, a hierarchical multi-agent system (MAS) architecture is proposed, which includes environmental awareness layer, agent decision-making layer and coordination and optimization layer, so as to realize intelligent planning of transmission line cable path. A distributed path optimization algorithm based on Multi-Agent Systems (MAS-DPOA) was further designed, incorporating the advantages of the Ant Colony Algorithm (ACA) and Genetic Algorithm (GA). This approach achieves rapid path optimization through the collaborative search by agents and genetic operations. Meanwhile, a distributed conflict detection mechanism based on MAS (MAS-CDCM) was proposed, utilizing the local sensing capabilities and communication mechanisms of agents to detect and report conflicts in real-time. Through the case study analysis of a 220kV transmission line in a mountainous area in southwestern China, the results show that compared with traditional methods, the MAS-DPOA method can reduce path length by 12.5%, decrease tower base costs by 18%, and increase conflict detection accuracy to 96%. It significantly reduces the volume of engineering work and minimizes social impact, offering an efficient and accurate solution for transmission line route planning with promising application prospects.",TOPIC
10.1109/ACCESS.2020.2979993,A Robot-Assisted Spine Surgery System Based on Intraoperative 2D Fluoroscopy Navigation,"In this paper, a robotic system based on intraoperative 2D fluoroscopy navigation in which fluoroscopy images are obtained by C-arm popularized in the clinic, for spine surgery is proposed. The procedure of robot-assisted spine surgery is designed and described. An improved special 6-dof hybrid robot considering both the stiffness and workspace is proposed. And the kinematic model and jacobian matrix of robot are established. To realize fluroscopy images acquisition and avoid interfering with the patient during the process of positioning, human-robot cooperation based on fuzzy variable admittance control considering arm stiffness which would influence the stability of robot, is applied in robotic system. In addition, navigation techniques containing a novel bi-planar design, a robust circular control point detector and closed-loop positioning of tool, based on fluoroscopy images are proposed. In experiments, kinematic model of hybrid robot is test based on laser tracker and the distance error is 0.17 mm which is much smaller than the motion range. The effect of tool weight compensation is measured and the max mean force and torque errors are 0.7477N and 0.0617 N.M. The experimental results could meet requirements in human-robot cooperation. Furthermore, we test the the robotic system proposed in this paper on spine model bone and cadaver with the help of surgeons. The experimental results are validated by 2D image c-arm-based and 3D image CT-based and considered clinically acceptable.",TOPIC
10.1109/ACCESS.2020.2991003,Smooth Curve Fitting of Mobile Robot Trajectories Using Differential Evolution,"Mobile robots have recently attracted the attention and applicability in field areas ubiquitously. Within the context of autonomous navigation, path planning is relevant for comfortability, safety, execution time and energy savings. In this paper, we propose an approach to suggest smooth paths from observed robot trajectories by optimizing fitting and smoothness criteria using Differential Evolution with distinct modes of initialization, selection pressure, exploration and exploitation. Our rigorous computational experiments using a relevant set of real-world robot trajectories from the Boe-Bot mobile robot architecture show the feasibility and efficiency of our approach in computing smooth curves, suggesting the superior performance of the greedy initialization scheme based on the triangular convex hull of the robot trajectory, and Differential Evolution with exploitative and parameter adaptation schemes such as Rank-Based Differential Evolution (RBDE), Adaptive Differential Evolution with External Archive (JADE) and Strategy Adaptation Differential Evolution (SADE). Our obtained results offer the building blocks to further advance towards developing data-driven curve fitting and path planning algorithms, which may find use in several real-world applications in Robotics and Operations Research.",TOPIC
10.1109/ACCESS.2020.3002928,A Hybrid Forecasting Model for the Velocity of Hybrid Robotic Fish Based on Back-Propagation Neural Network With Genetic Algorithm Optimization,"Marine unmanned vehicle is a novel robot widely used in ocean observation, and its accurate control is of significance to their path planning. We want to find a method to predict the velocity and course of this robot, which can help us realize the accurate control of it. The paper proposed a promising type of hybrid robotic fish (HRF), which can realize two kinds of motion modes on the sea surface. Firstly, the configuration and dynamic model of the HRF were analyzed elaborately. Then, to realize accurate velocity prediction under two kinds of motion modes of HRF, the influence factors are presented in a complex marine environment. Based on the influence factors to its maneuverability, such as wind or wave parameters, a velocity prediction algorithm based on back-propagation neural network (BPNN) was introduced. However, BPNN has the disadvantages of extended learning and training time, easily falling into local optimum. Then we found that genetic algorithm (GA), which is a kind of evolutionary algorithm, is suitable for our problem. Therefore, the accuracy and efficiency of the prediction algorithm were improved by adopting the genetic algorithm to optimize the weight and threshold of BPNN. Taking the experimental data from the pool test, the back-propagation neural network with genetic algorithm (GA-BPNN) forecasting model was established. Besides, the other prediction methods were compared and evaluated under the same assessment criterion to validate the proposed forecasting model. The experimental results demonstrate that the GA-BPNN model has higher accuracy and efficiency compared with other prediction algorithms, which verifies the feasibility of the velocity prediction model for hybrid robotic fish in complex ocean environments.",TOPIC
