DOI,Document title,Abstract,REASON
10.1007/978-3-030-82017-6_9,Towards Explainable Visionary Agents: License to Dare and Imagine,"Since their appearance, computer programs have embodied discipline and structured approaches and methodologies. Yet, to this day, equipping machines with imaginative and creative capabilities remains one of the most challenging and fascinating goals we pursue. Intelligent software agents can behave intelligently in well-defined scenarios, relying on Machine Learning (ML), symbolic reasoning, and the ability of their developers for tailoring smart behaviors to specific application domains. However, to forecast the evolution of all possible scenarios is unfeasible. Thus, intelligent agents should autonomously/creatively adapt to the world’s mutability. This paper investigates the meaning of imagination in the context of cognitive agents. In particular, it addresses techniques and approaches to let agents autonomously imagine/simulate their course of action and generate explanations supporting it, and formalizes thematic challenges. Accordingly, we investigate research areas including: (i) reasoning and automatic theorem proving to synthesize novel knowledge via inference; (ii) automatic planning and simulation, used to speculate over alternative courses of action; (iii) machine learning and data mining, exploited to induce new knowledge from experience; and (iv) biochemical coordination, which keeps imagination dynamic by continuously reorganizing it. © 2021, Springer Nature Switzerland AG.",
10.1007/978-3-031-19842-7_29,Learning Efficient Multi-agent Cooperative Visual Exploration,"We tackle the problem of cooperative visual exploration where multiple agents need to jointly explore unseen regions as fast as possible based on visual signals. Classical planning-based methods often suffer from expensive computation overhead at each step and a limited expressiveness of complex cooperation strategy. By contrast, reinforcement learning (RL) has recently become a popular paradigm for tackling this challenge due to its modeling capability of arbitrarily complex strategies and minimal inference overhead. In this paper, we propose a novel RL-based multi-agent planning module, Multi-agent Spatial Planner (MSP). MSP leverages a transformer-based architecture, Spatial-TeamFormer, which effectively captures spatial relations and intra-agent interactions via hierarchical spatial self-attentions. In addition, we also implement a few multi-agent enhancements to process local information from each agent for an aligned spatial representation and more precise planning. Finally, we perform policy distillation to extract a meta policy to significantly improve the generalization capability of final policy. We call this overall solution, Multi-Agent Active Neural SLAM (MAANS). MAANS substantially outperforms classical planning-based baselines for the first time in a photo-realistic 3D simulator, Habitat. Code and videos can be found at https://sites.google.com/view/maans. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",
10.1007/978-3-031-26412-2_4,Oracle-SAGE: Planning Ahead in Graph-Based Deep Reinforcement Learning,"Deep reinforcement learning (RL) commonly suffers from high sample complexity and poor generalisation, especially with high-dimensional (image-based) input. Where available (such as some robotic control domains), low dimensional vector inputs outperform their image based counterparts, but it is challenging to represent complex dynamic environments in this manner. Relational reinforcement learning instead represents the world as a set of objects and the relations between them; offering a flexible yet expressive view which provides structural inductive biases to aid learning. Recently relational RL methods have been extended with modern function approximation using graph neural networks (GNNs). However, inherent limitations in the processing model for GNNs result in decreased returns when important information is dispersed widely throughout the graph. We outline a hybrid learning and planning model which uses reinforcement learning to propose and select subgoals for a planning model to achieve. This includes a novel action selection mechanism and loss function to allow training around the non-differentiable planner. We demonstrate our algorithms effectiveness on a range of domains, including MiniHack and a challenging extension of the classic taxi domain. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",
10.1007/978-3-031-44851-5_28,Semantic Knowledge-Based Mission Planning Method According to Robot Characteristics in Outdoor Environment,"In the field of robots, many studies have been proposed to introduce advanced cognitive science into robot systems based on existing numerical information. These research directions allow robots to utilize their knowledge to simplify, understand, and efficiently plan their tasks. In this paper, we propose a semantic knowledge-based robot mission planning method in an irregular three-dimensional environment. We introduce an advanced robot mission planning method that defines the knowledge of robots and driving places based on ontology and utilizes the defined semantic knowledge. To this end, we define a robot domain based on Planning Domain Definition Language (PDDL) and solve it through a classical planner to plan the mission. Finally, we validate the suitability of the proposed method by conducting experiments with real-world robots within the campus environment and comparing them with general PDDL-based methods. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",
10.1007/978-3-032-00642-4_15,Supporting Human-Robot Collaboration and Safety with the Proposed Explainable Neuro-Symbolic Reasoning,"In this article, an overview of the innovative architecture of a hybrid AI neuro-symbolic architecture which uses high-resolution deep vision with probabilistic first-order logic for safety monitoring and anomaly detection in Human-Robot Collaboration environment is proposed. Firstly, the problem and the proposed solution and its application to human-robot collaboration scenarios is outlined. Then, the performance of the proposed method for anomaly detection and its conformity to the requirements defined by the end-users in realistic scenarios is discussed. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",
10.1007/978-981-96-7956-0_22,"The A-BDI Metamodel for Human-Level AI: Argumentation as Balancing, Dialogue and Inference","In this paper, we introduce A-BDI, the first metamodel for formal and computational argumentation. It contains three models, conceptualizing argumentation as balancing, argumentation as dialogue, and argumentation as inference respectively. Each model looks at argumentation from a different perspective, addressing its own concerns and using its own formal and computational methods. Whereas balancing is inspired by the scale metaphor and uses quantitative techniques typically found in theories in economics and neural computing, dialogue is developed in multiagent communication and interaction and uses chatbot and Large Language Models (LLMs) technology, and inference is derived from theoretical investigations in knowledge representation and reasoning and uses techniques from symbolic reasoning. By bringing together new and traditional Artificial Intelligence (AI) approaches, the A-BDI metamodel provides a formal and computational framework for human-level, neuro-symbolic, and hybrid AI. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.",
10.1007/s00354-024-00243-8,Neuro-Symbolic Reasoning for Multimodal Referring Expression Comprehension in HMI Systems,"Conventional Human–Machine Interaction (HMI) interfaces have predominantly relied on GUI and voice commands. However, natural human communication also consists of non-verbal communication, including hand gestures like pointing. Thus, recent works in HMI systems have tried to incorporate pointing gestures as an input, making significant progress in recognizing and integrating them with voice commands. However, existing approaches often treat these input modalities independently, limiting their capacity to handle complex multimodal instructions requiring intricate reasoning of language and gestures. On the other hand, multimodal tasks requiring complex reasoning are being challenged in the language and vision domain, but these typically do not include gestures like pointing. To bridge this gap, we explore one of the challenging multimodal tasks, called Referring Expression Comprehension (REC), within multimodal HMI systems incorporating pointing gestures. We present a virtual setup in which a robot shares an environment with a user and is tasked with identifying objects based on the user’s language and gestural instructions. Furthermore, to address this challenge, we propose a hybrid neuro-symbolic model combining deep learning’s versatility with symbolic reasoning’s interpretability. Our contributions include a challenging multimodal REC dataset for HMI systems, an interpretable neuro-symbolic model, and an assessment of its ability to generalize the reasoning to unseen environments, complemented by an in-depth qualitative analysis of the model’s inner workings. © The Author(s) 2024.",
10.1007/s10846-021-01480-5,A Hybrid Planning Approach for Accompanying Information-gathering in Plan Execution Monitoring,"Autonomous robots that execute plans in real-world environments may easily get failed due to unexpected environment dynamics. For robust plan execution, a great number of plan execution monitoring works has been proposed to estimate plan execution effects and make recovery plans for any detected plan failures. However, most works have assumed the full observability of environment states and accessibility of complete information about environment dynamics, which shows limitations when executing plans under environment dynamics and partial observability. To efficiently and effectively monitor robot plans in dynamic and partially observable environments, this paper first proposes an accompanying action policy that specifies an interaction pattern between information-gathering plan and the task plan to estimate and monitor task plan execution. To provide a concrete implementation of the above pattern, we first identify the task achievement and execution monitoring as two separated goals in a robot task, and then propose a hybrid planning approach that integrates two planners to solve the goals. For a task-achievement goal, we utilize a classical planning framework ROSPlan to efficiently compute the global task plan. While executing each action of the plan, we cast the execution monitoring problem as a Partially Observable Markov Decision Process (POMDP), which plans the information-gathering plans for monitors the action execution effects and recover failures when necessary. We further implement a typical robotic service task to verify the efficiency and effectiveness of our approach. By comparing with both the baseline plan-invariant execution monitoring approach and a full POMDP planning approach, the hybrid planning approach is efficient in task planning and execution monitoring and effectively recovering plan failures in unknown environments. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.",
10.1007/s12369-024-01192-4,"A Hybrid Cognitive Architecture to Generate, Control, Plan, and Monitor Behaviors for Interactive Autonomous Robots","Interactive robots not only need to react in predefined or deterministic scenarios but also learn and adapt in real-time, mirroring cognitive flexibility akin to human intelligence. Achieving this autonomy entails developing cognitive architectures that integrate reactive, deliberative and emergent capabilities. Thus, this paper presents MERLIN2, a hybrid cognitive architecture to generate, control, plan, and monitor behaviors in autonomous robots. This architecture combines reactive, deliberative, and emergent components, aiming to enhance adaptability in dynamic environments and make intelligent real-time decisions, thereby improving autonomy and performance. MERLIN2 comprises a deliberative system, based on a knowledge base and a symbolic planner; and a behavioral system composed of reactive components and several emergent components. It addresses core cognitive aspects like action selection, perception, memory, learning, reasoning, and explainability. MERLIN2 is evaluated in a simulated world and in the real world Carry My Luggage task from the RoboCup@Home. Therefore, the experimentation presented in this article showcases the architecture as a valid solution for autonomous robots. © The Author(s) 2024.",
10.1007/s13748-025-00394-9,Synthesizing Evolving Symbolic Representations for Autonomous Systems,"This work presents a novel architecture for an open-ended learning system that integrates intrinsic motivation (IM) and classical planning to enable agents continuously learn and improve their knowledge over time in an unsupervised fashion. The main goal is to allow the agent to autonomously distill its experience into Probabilistic Planning Domain Definition Language (PPDDL) terms, thereby making causal relationships explicit and supporting automated planning. Starting with a virtually empty set of predefined tasks or goals, the agent harnesses intrinsic motivation to explore the environment autonomously, continuously using and enriching the high-level knowledge acquired through its experience in a virtuous cycle. Experimental evaluation in the Treasure Game domain demonstrates the effectiveness of the proposed approach: starting with only a small set of primitive actions, we show how an agent can autonomously build and refine a high-level representation of the environment. Planning-based strategies grounded in this representation significantly outperform uninformed exploration by reaching intermediate sub-goals more efficiently and substantially reducing the time required to achieve the final objective. © The Author(s) 2025.",
