"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"BDI-Dojo: developing robust BDI agents in evolving adversarial environments","S. Pulawski; H. K. Dam; A. Ghose","School of Computing and Information Technology Decision Systems Lab, University of Wollongong, Australia; School of Computing and Information Technology Decision Systems Lab, University of Wollongong, Australia; School of Computing and Information Technology Decision Systems Lab, University of Wollongong, Australia",2021 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C),"18 Nov 2021","2021","","","257","262","The Belief-Desire-Intention (BDI) architecture is a widely-used model for developing multi-agent systems. BDI agents pursue their goals over time using a collection of plan recipes that are programmed by the developers. Thus, traditional BDI agents are limited in dealing with dynamic environments where uncertainties are not known beforehand, such as those introduced by adversarial forces. In this paper, we present the BDI-Dojo framework for developing robust BDI agents by training them using reinforcement learning against similarly learning-equipped adversarial agents. This adversarial training approach empowers BDI agents to become more resilient in uncertain, dynamic environments.","","978-1-6654-4393-7","10.1109/ACSOS-C52956.2021.00066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9599224","Multi-Agent Systems;Robustness;Resilience;Reinforcement learning;Adversarial training","Training;Uncertainty;Conferences;Dynamics;Reinforcement learning;Computer architecture;Multi-agent systems","","1","","20","IEEE","18 Nov 2021","","","IEEE","IEEE Conferences"
"Hybrid Dual-mode Gait Planning of Wearable Extra Robotic Legs based on Multi-level Inverted Pendulum Model","H. -B. Li; X. -R. Guan; Z. Li; Y. Li; Y. -f. Shi; Z. Wang","School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Shipping and Mechatronic Engineering, Taizhou University, Taizhou, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Mechanical Engineering, Nanjing University of Science and Technology, Nanjing, China",2020 IEEE 18th International Conference on Industrial Informatics (INDIN),"7 Jun 2021","2020","1","","687","694","This paper is written according to the wearable extra robotic legs named Extra Assistant Robotic Legs (EARL). The EARL consists of one upper base and two robotic legs. The upper base is worn through a backpack around the upper body and the robotic legs are distributed around the lower body. In this paper, the research subject is the robotic legs of the EARL. In order to ensure that the human body can have better movements matching under the state of wearing the EARL, and realize efficient, flexible and stable coordinated movements, a planning algorithm of hybrid dual-mode gait includes walking and running for movements of the robotic legs is proposed. The gait planning is an important means and a foundation of the development and design of the robotic legs. The algorithm is set up according to the dynamic model of the EARL. The dynamic model is established by using the multi-level inverted pendulum with the joint deformation when the robotic legs hit the ground. The desired joint trajectories of the EARL are planned by the piecewise function and the gait cycle is determined by an experiment. Ultimately the prototype simulation is set up to verify the tracking performance of the EARL. The proposed validity is ensured by the simulation. The simulation results show the planned trajectories are continuous curves. The angular velocity of joints minus to 0 is to call for an end or to start another cycle. It can ensure the continuity and stability of the EARL. 6 sudden changes of each figure represent 6 selected gait phases. In a word, the robotic legs of the EARL can achieve efficient and stable moving by tracking the planned trajectories. The hybrid dual-mode gait planning algorithm is not only a supplement of the gait planning theory, but the improvement of the cooperative control strategy between the robotic legs and the wearer's legs as well. (Abstract)","2378-363X","978-1-7281-4964-6","10.1109/INDIN45582.2020.9442225","Pre-research of China Army Equipment Department(grant numbers:301–090305); Innovation Project of China Military Commission on Science and Technology(grant numbers:1916315ZT00500502); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9442225","wearable extra robotic legs;hybrid dual-mode gait planning;multi-level inverted pendulum;joint deformation;piecewise function","Legged locomotion;Analytical models;Robot kinematics;Heuristic algorithms;Prototypes;Stability analysis;Planning","","1","","10","IEEE","7 Jun 2021","","","IEEE","IEEE Conferences"
"Hybrid Motion Planner for a Multi-Armed Robot Performing On-orbit Loco-manipulation Tasks","I. Rodríguez; S. Quintero; J. -P. Lutze; P. Lehner; M. A. Roa","German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Weßling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Weßling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Weßling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Weßling, Germany; German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Weßling, Germany",2024 IEEE Aerospace Conference,"13 May 2024","2024","","","1","9","Large space infrastructure is gaining increasing attention in recent years, including e.g. solar power plants in space or space stations. However, these structures normally are not sent in one piece due to current launch vehicles’ size and load capacity limitations. An alternative is to send individual components and subassemblies and perform the final assembly of structures in orbit, mainly using robotic manipulators that execute simple manipulation tasks. However, fixed manipulator systems have limited reachability; therefore, new approaches are required to endow robotic systems with extended mobility and enhanced versatility.Several European projects have developed initial prototypes of robotic systems that could execute On-orbit services. In the MOSAR project, a 7 degrees of freedom (DoF) Walking Manipulator (WM) robot performed locomotion and manipulation (loco-manipulation) tasks for the assembly of modular satellites. In this project, the robot and the modules of the satellite were equipped with Standard Interconnects (SI), which provide mechanical, power, and data connectivity for the different components and also enable a straightforward way for their manipulation using a suitable SI as a robotic end effector. A ground scenario was developed to evaluate the system under laboratory conditions. To enhance the reachability and mobility of the WM, the project MIRROR, funded by ESA, pursued the development of a Multi-Armed Robot (MAR) capable of executing loco-manipulation tasks to assemble modular space structures. This system consists of three robotic subsystems, two 7-DoF arms attached to a torso with an extra DoF on its base.This paper presents a hybrid motion planner for generating trajectories for loco-manipulation tasks using the MAR system. The developed hybrid planner combines a high-level layer that determines the necessary contact states between the robot and the structure, and a low-level layer that plans the joint trajectories among contiguous contact states. The high-level planner implements task-dependent heuristics and a depth-first search approach to reduce the search time for possible contact states. The low-level layer implements an optimization-based motion planner, in particular the Stochastic Trajectory Optimization for Motion Planning (STOMP). Using an optimization-based approach reduces the random component associated typically with sampling-based motion planners, thus generating as well smoother trajectories. STOMP used as objective function the minimization of joint torques required for executing the different tasks. The performance of the MAR system is evaluated in simulation and on a ground demonstration scenario that simulates the assembly of a modular primary mirror of a space telescope, demonstrating different tasks, including robotic locomotion and manipulation of the mirror parts.","1095-323X","979-8-3503-0462-6","10.1109/AERO58975.2024.10521183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10521183","","Space vehicles;Legged locomotion;Torso;Mars;Satellites;Mirrors;Task analysis","","1","","24","IEEE","13 May 2024","","","IEEE","IEEE Conferences"
"Verifying Multi -Agent Coordination Correctness for BDI Agents","G. Mahala; A. Ghose; H. K. Dam; A. Consoli","Decision Systems Lab, University of Wollongong, Wollongong, Australia; Decision Systems Lab, University of Wollongong, Wollongong, Australia; Decision Systems Lab, University of Wollongong, Wollongong, Australia; Defence Science and Technology Group, Edinburgh, Australia","2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)","26 Aug 2024","2024","","","21","26","The popular Belief-Desire-Intention (BDI) architecture structures agents' behavior around beliefs, desires, and intentions, enabling effective pursuit of collective objectives and optimal system performance. Many complex situations require agent developers to design a coordination model/plan involving multiple BDI agents working together to achieve a given goal. However, a semantic notion of state has been missing in most current accounts of BDI agent execution, making it impossible to assess at design time if a coordination model/plan is able to achieve the goal. Thus, in this paper, we introduce a framework that permits us to identify the state that accrues at any point in agent execution. This enables us to determine, at design time, if a multi-agent coordination model/plan accomplishes a given goal. Our framework facilitates the verification of coordination correctness in such complex multi-agent systems.","2836-3795","979-8-3503-7696-8","10.1109/COMPSAC61105.2024.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10633619","Multi-agent systems (MAS);BDI architecture;Coordination","System performance;Computational modeling;Semantics;Computer architecture;Software;Multi-agent systems","","","","18","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Enhancing Cognitive Functions in Large Language Models Towards AGI: A State-of-the-Art Survey and Exploratory Review","T. Navarro","European Space Agency, ECSAT, Didcot, UK",2025 10th International Conference on Machine Learning Technologies (ICMLT),"13 Oct 2025","2025","","","330","340","This paper presents a comprehensive state-of-the-art survey and exploratory review of current methodologies aimed at enhancing the reasoning capabilities of Large Language Models (LLMs) on the path toward Artificial General Intelligence (AGI). The paper presents a novel synthesis of enhancement strategies across four complementary cognitive dimensions: planning, memory, world modeling, and neuro-symbolic integration. Although LLMs have shown remarkable performance in language-based tasks, their reasoning abilities remain limited, particularly in areas such as causal inference, long-term planning, and common sense understanding, capabilities vital for domains like satellite mission engineering design and spacecraft operations. This paper systematically examine these cognitive bottlenecks and the challenges posed by hallucinations, which undermine trust and reliability. The review then explores promising strategies for augmenting LLM capabilities, including integration with knowledge graphs and symbolic reasoning systems, the development of internal ""world models,"" memory and attention-based architectural innovations, and advanced training techniques such as instruction tuning, reinforcement learning from human feedback, and chain-of-thought prompting. Furthermore, we analyze hybrid neuro-symbolic approaches and multi-agent architectures as emerging paradigms that blend deep learning with structured reasoning. Overall, this work aims to provide a foundation for advancing LLMs toward more robust, generalizable, and cognitively grounded artificial intelligence systems by mapping the landscape of current research and identifying the most promising directions for future development.","","979-8-3315-3672-5","10.1109/ICMLT65785.2025.11193354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11193354","Large Language Models (LLMs);Artificial General Intelligence (AGI);knowledge graphs (KG);symbolic reasoning;world models;diffusion-based language models;reinforcement learning from human feedback (RLHF);cognitive architectures;multi-agent systems;neuro-symbolic AI;instruction tuning","Surveys;Training;Reviews;Large language models;Artificial general intelligence;Reinforcement learning;Knowledge graphs;Cognition;Planning;Tuning","","","","82","IEEE","13 Oct 2025","","","IEEE","IEEE Conferences"
"Neuromorphic-Driven Agentic AI for Autonomous Decision-Making Systems","M. K. K; S. Mehta.S; A. H. L; S. N; G. Jadhav; A. Mitra","Department of Cyber Security, NMAM Institute of Technology, NITTE (Deemed to be University), Karkala, India; Department Of CSE (IOT & Cyber Security including Block Chain Technology), Brindavan College of Engineering, Bengaluru, India; Department of Computer Science, Sarada Vilas College, Mysuru, India; Department of Computer Science, Sarada Vilas College, Mysuru, India; Department Of Electrical Engineering, Faculty of Engineering and Technology, Parul institute of Engineering and Technology, Parul University, Post Limda, India; Symbiosis Centre for Advanced Legal Studies and Research (SCALSAR), Symbiosis Law School Symbiosis International (Deemed University), Pune, India",2024 4th International Conference on Mobile Networks and Wireless Communications (ICMNWC),"20 Feb 2025","2024","","","1","8","Agentic AI represents a paradigm shift in the development of intelligent systems capable of adaptive and proactive interactions in dynamic and complex environments. By integrating reinforcement learning (RL) with cognitive frameworks, Agentic AI goes beyond traditional rule-based and reactive models, enabling autonomous systems to make informed decisions, anticipate future states, and learn from experience. This paper explores the theoretical foundations and practical applications of Agentic AI, highlighting its potential to transform a variety of fields, including robotics, autonomous driving, finance, and healthcare. Through a detailed review of state-of-the-art research, we illustrate how cognitive architectures such as ACT-R and Soar, combined with advanced RL techniques like Deep Q-Networks (DQN) and Proximal Policy Optimization (PPO), contribute to the development of AI agents with human-like reasoning and decision-making capabilities. Experimental results demonstrate that Agentic AI significantly outperforms conventional AI approaches in terms of adaptability, learning efficiency, and decision accuracy. The findings suggest that Agentic AI offers a robust framework for creating intelligent systems capable of complex problem-solving, long-term planning, and proactive behavior, paving the way for the next generation of AI-driven applications.","","979-8-3315-2834-8","10.1109/ICMNWC63764.2024.10872131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10872131","agentic AI;adaptive systems;proactive interactions;reinforcement learning;cognitive frameworks;deep q-network (DQN);proximal policy optimization (PPO);cognitive architectures;ACT-R;soar;human-like reasoning;autonomous systems;decision-making;artificial intelligence","Adaptation models;Adaptive systems;Decision making;Finance;Medical services;Reinforcement learning;Cognition;Autonomous vehicles;Robots;Optimization","","2","","20","IEEE","20 Feb 2025","","","IEEE","IEEE Conferences"
"Hierarchical Q-Learning Path Planning for Cooperative Tracking Control of Multi-Agent Systems With Lumped Uncertainties","M. -K. Lu; M. -F. Ge; Z. -W. Liu; T. -F. Ding","School of Mechanical Engineering and Electronic Information, China University of Geosciences, Wuhan, China; School of Mechanical Engineering and Electronic Information, China University of Geosciences, Wuhan, China; School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China; School of Mechanical Engineering and Electronic Information, China University of Geosciences, Wuhan, China",IEEE Transactions on Automation Science and Engineering,"21 Feb 2025","2025","22","","3866","3876","This paper presents the hierarchical Q-learning path planning (HQPP) architecture for solving the cooperative tracking control problem of multi-agent systems (MASs) with lumped uncertainties in an unknown environment. The presented architecture consists of three layers, namely, the decision layer, the distributed estimated layer, and the local control layer. Specifically, in the decision layer, we propose the dynamic parameter and trajectory fitting Q-learning (DPTF-Q-learning) algorithm to find a feasible continuous trajectory to the target in an unknown environment. In addition, two dynamic parameters are proposed and introduced into the DPTF-Q-learning algorithm to shorten the required minimum number of steps in the training process. Then, the distributed estimated layer is designed to broadcast the continuous trajectory generated from the decision layer based on the directed communication topology containing a spanning tree. In the local control layer, the cooperative tracking control (CTC) algorithm is proposed to achieve cooperative tracking for MASs in the presence of uncertain dynamics and external disturbances. The sufficient conditions for achieving cooperative tracking control are rigorously derived by employing Lyapunov argument. Finally, numerical simulations are presented to verify the effectiveness of the proposed architecture.Note to Practitioners—This paper is motivated by the need of developing an integrated path planning and control method for cooperative tracking of multi-agent systems in a no-signal environment and without the presence of users. Most related works are limited to separate fields: 1) most existing path planning techniques are only applicable to a single agent and discrete environments, and 2) most existing cooperative tracking algorithms focus on guaranteeing control stability and error convergence without decision-making capabilities. To address the above issues, this work proposes a hierarchical control architecture based on reinforcement learning for multi-agent systems to achieve path planning and cooperative tracking tasks. In addition, multi-agent systems exhibit strong robustness and fault tolerance due to their inherent characteristics, so the above mentioned research can be well applied to post-disaster rescue, intelligent logistics, future war, and so on. Numerical simulations based on Matlab and Python verify the effectiveness of the proposed architecture.","1558-3783","","10.1109/TASE.2024.3401456","National Natural Science Foundation of China(grant numbers:62233007,62073301,62373162,62303430); Natural Science Foundation of Hubei Province of China(grant numbers:2022CFA052); Knowledge Innovation Program of Wuhan-Basic Research(grant numbers:2023010201010100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10535125","Q-learning;path planning;cooperative tracking control;external disturbance;uncertain dynamics;multi-agent systems (MASs)","Trajectory;Path planning;Q-learning;Heuristic algorithms;Fitting;Target tracking;Multi-agent systems","","7","","33","IEEE","20 May 2024","","","IEEE","IEEE Journals"
"Research on Task Planning Methods for Embodied Intelligence Based on Large Language Models","W. Niu; H. Ma; Y. Zhai","Department of Information Science and Technology, Dalian University of Science and Technology, Dalian, China; Department of Information Science and Technology, Dalian University of Science and Technology, Dalian, China; Department of Information Science and Technology, Dalian University of Science and Technology, Dalian, China",2025 International Symposium on Intelligent Robotics and Systems (ISoIRS),"26 Sep 2025","2025","","","1","5","Embodied intelligence, as an interdisciplinary frontier that integrates artificial intelligence and robotics, relies fundamentally on robust task planning capabilities to enable autonomous decision-making in dynamic and complex environments. This paper systematically reviews the methods of embodied intelligence task planning that are grounded in large language models (LLMs), conducting a comprehensive multidimensional analysis across theoretical frameworks, technical pathways, and multi-agent collaboration dynamics. The study reveals that LLMs, through their advanced mechanisms of natural language comprehension, multimodal fusion, and dynamic reasoning, effectively address the inherent limitations of conventional rule-based systems in terms of flexibility, adaptability, and interactivity. The array of single-agent strategies, which encompasses end-to-end planning, phased planning, and dynamic planning, along with the diverse multi-agent collaborative frameworks involving centralized, distributed, and hybrid architectures, collectively establish novel paradigms for task decomposition and execution in intricate real-world scenarios. Furthermore, the paper critically examines key challenges like logical consistency, energy efficiency, and safety verification that impede the widespread use of LLM-based systems, while proposing future directions such as neuro-symbolic hybrid architectures and lightweight model optimization to boost practicality. Notably, these advancements not only strengthen the technical foundations of embodied intelligence but also facilitate smoother integration of intelligent agents into daily life and industrial environments.","","979-8-3315-4359-4","10.1109/ISoIRS65690.2025.11168047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11168047","large language models;embodied intelligence;multimodal perception;hierarchical task planning;neuro-symbolic systems","Phased arrays;Service robots;Reviews;Large language models;Natural languages;Collaboration;Planning;Safety;Intelligent agents;Optimization","","","","32","IEEE","26 Sep 2025","","","IEEE","IEEE Conferences"
"Enhancing Elder Cognitive Engagement with Adaptive Serious Games: A MAPE-K Framework for Personalized Human-Robot Interaction","A. Blanco; A. Condón; T. Rodríguez; P. Núñez","RoboLab - Robotics and Artificial Vision Lab of the University of Extremadura, Spain; RoboLab - Robotics and Artificial Vision Lab of the University of Extremadura, Spain; RoboLab - Robotics and Artificial Vision Lab of the University of Extremadura, Spain; RoboLab - Robotics and Artificial Vision Lab of the University of Extremadura, Spain",2025 34th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),"3 Nov 2025","2025","","","163","169","The growing demographic of older adults worldwide has intensified the demand for innovative cognitive and social stimulation solutions. While socially assistive robots integrated with serious games show promise, traditional robotic platforms often lack the flexibility to adapt dynamically to users’ fluctuating cognitive abilities and engagement levels. We propose a novel self-adaptive framework that combines the MAPE-K (Monitor, Analyze, Plan, Execute, Knowledge) control loop with the CORTEX cognitive robotics architecture. Implemented on the EBOv2 robotic platform, our system supports two popular serious games—""Simon Says"" for attention and memory training, and ""Pasapalabras"" (a word quiz game) for semantic and linguistic stimulation. Specialized software agents within CORTEX dynamically modify these games’ structural and parametric elements, guided by multimodal inputs such as user performance metrics and emotional cues. A simulation-based evaluation using profiles derived from established cognitive models (ranging from high cognitive capacity to mild impairment) demonstrates the system’s adaptability and reliability. Our measurements show latency well below the 200 ms threshold—ensuring seamless real-time reconfiguration. Beyond response times, the adaptive difficulty mechanism effectively tailors challenge levels to each user profile, stabilizing within five sessions and improving overall engagement metrics compared to non-adaptive configurations. Users in the simulated high-capacity profile consistently progressed to advanced difficulty levels without frustration. In contrast, users with milder impairments benefited from gentle ramps in a challenge that enhanced task completion rates. These findings underscore the technical feasibility and potential therapeutic value of agent-based robotic systems for personalized cognitive stimulation. Future work will focus on long-term in situ evaluations with older adults in clinical and residential care settings, examining sustained improvements in cognitive resilience and psychosocial well-being.","1944-9437","979-8-3315-8771-0","10.1109/RO-MAN63969.2025.11217758","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11217758","","Training;Semantics;Software agents;Real-time systems;Systems support;Software reliability;Serious games;Time factors;Older adults;Resilience","","","","26","IEEE","3 Nov 2025","","","IEEE","IEEE Conferences"
"Development of On-orbit Assembly Demonstrator in 3U CubeSat Form Factor","D. Wenberg; M. Kutzer; L. Devries; J. Gregory; M. Sanders; J. S. Kang","United States Naval Academy, 590 Holloway Rd., MS 11B, Annapolis, MD; United States Naval Academy, 590 Holloway Rd., MS 11B, Annapolis, MD; United States Naval Academy, 590 Holloway Rd., MS 11B, Annapolis, MD; United States Naval Academy, 590 Holloway Rd., MS 11B, Annapolis, MD; United States Naval Academy, 590 Holloway Rd., MS 11B, Annapolis, MD; United States Naval Academy, 590 Holloway Rd., MS 11B, Annapolis, MD",2020 IEEE Aerospace Conference,"21 Aug 2020","2020","","","1","11","The use of robotics in space has become common in the last half century of space exploration. However, robotic arms are rarely entrusted to perform large assembly tasks without a human in the loop because of the high cost of the hardware involved. As our presence in space grows, developing advanced autonomous robotic systems may be the way forward as time lags associated with teleoperation can easily cripple future space missions operating beyond earth orbit. This research focuses on the derivation of an autonomous control system for spacecraft assembly applications that blends Jacobian path following and visual servoing. Jacobian path following assumes the environment is well known and plans end effector trajectories whose performance for assembly may suffer in dynamic or uncertain environments. Visual servoing approaches use feedback from an effector attached camera and can avoid dynamic obstacles, but provides no guarantee of success if the sensor cannot keep the goal location in its field of view and often traverses inefficient manipulator trajectories. This work proposes a hybrid approach that combines both approaches to improve the performance of a robotic manipulator in both known and unknown environments. The robotic systems are simulated using the proposed hybrid controller. The hybrid controller is developed in MATLAB using a kinematic simulation of a two degree of freedom robotic arm operating in a single plane with a simplified camera model. Following successful implementation of the simulation, a more complex robotic arm is simulated in 3D space. The controller is integrated into an existing robotic arm platform (UR5 Industrial Manipulator) for a proof of concept. The results of the testing highlights the path and final position of each controller to demonstrate the advantages of each controller individually and the advantages of the hybrid approach. The paper describes the algorithm development and results of analysis and testing.","1095-323X","978-1-7281-2734-7","10.1109/AERO47225.2020.9172592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9172592","","Space vehicles;Jacobian matrices;Robotic assembly;Service robots;Space missions;Manipulators;Hardware;Visual servoing;Robots;Assembly","","1","","14","USGov","21 Aug 2020","","","IEEE","IEEE Conferences"
