DOI,Document title,Abstract
,Hardware Architecture of Graph Neural Network-enabled Motion Planner (Invited Paper),"Motion planning aims to find a collision-free trajectory from the start to goal configurations of a robot. As a key cognition task for all the autonomous machines, motion planning is fundamentally required in various real-world robotic applications, such as 2-D/3-D autonomous navigation of unmanned mobile and aerial vehicles and high degree-of-freedom (DoF) autonomous manipulation of industry/medical robot arms and graspers.Motion planning can be performed using either non-learning- based classical algorithms or learning-based neural approaches. Most recently, the powerful capabilities of deep neural networks (DNNs) make neural planners become very attractive because of their superior planning performance over the classical methods. In particular, graph neural network (GNN)-enabled motion planner has demonstrated the state-of-the-art performance across a set of challenging high-dimensional planning tasks, motivating the efficient hardware acceleration to fully unleash its potential and promote its widespread deployment in practical applications.To that end, in this paper we perform preliminary study of the efficient accelerator design of the GNN-based neural planner, especially for the neural explorer as the key component of the entire planning pipeline. By performing in-depth analysis on the different design choices, we identify that the hybrid architecture, instead of the uniform sparse matrix multiplication (SpMM)-based solution that is popularly adopted in the existing GNN hardware, is more suitable for our target neural explorer. With a set of optimization on microarchitecture and dataflow, several design challenges incurred by using hybrid architecture, such as extensive memory access and imbalanced workload, can be efficiently mitigated. Evaluation results show that our proposed customized hardware architecture achieves order-of-magnitude performance improvement over the CPU/GPU-based implementation with respect to area and energy efficiency in various working environments."
,Towards LLM-augmented multiagent systems for agile software engineering,"A cognitive multi-agent ecosystem designed for efficient software engineering using Agile methodologies can significantly improve software development processes. Key components include the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs), utilizing Dynamic Context techniques for agent profiling, and Theory of Mind to enhance collaboration. The CogniSim Ecosystem analyzes problems, proposes solutions, constructs and validates plans, and coordinates specialized agents playing roles such as developers, executors, quality checkers, and methodology reviewers. These agents produce documentation, models, and diagrams (e.g., UML) while adhering to predefined quality and performance measures. The ecosystem also simulates the impact of various team configurations on problem-solving effectiveness, helping organizations identify optimal team structures. Case studies and simulations demonstrate its practical applications.CCS CONCEPTS• Computing methodologies → Multi-agent systems; • Software and its engineering → Agile software development."
,Modelling Experts’ Sampling Strategy to Balance Multiple Objectives During Scientific Explorations,"During scientific explorations, scientists often hold multiple, conflicting objectives. Understanding how scientists prioritize and balance these objectives is crucial for developing cognitively-compatible robotic teammates and fostering effective human-robot collaboration. In this study, we seek to improve the cognitive compatibility of robotic algorithms by modelling human’ decision making processes under multiple objectives. Collected human decision data from 141 sampling steps indicate that the majority of scientists adopt one of the following objective balancing strategies: (i) A Focus mode, where experts select sampling location to primarily optimize their primary objective; (ii) A Hierarchy mode, where experts hierarchically satisfy foremost their primary objective, then, to a lesser extent, their secondary objective; and (iii) A Trade-off mode, where experts select sampling locations to satisfy all objectives, even the location was not ideal for either objective. To understand how experts choose among the different modes, we quantitatively characterize the three types of strategies, by representing the decision data from each sampling step in an objective function space. Analysis of the strategy types reveals that, experts’ adaptation of multi-objective coordinating strategies are primarily governed by two key decision factors: current stages of sampling, and outstanding reward values. Based on this discovery, we developed a highly simplified decision algorithm that connects experts’ high-level objectives to desired sampling locations under multiple objectives. Deployment of this algorithm at a planetary-analogue field exploration mission on Mt. Hood demonstrates its potential in enabling robots to participate in the decision making process and suggest sampling plans that align well with scientists’ high-level goals.CCS CONCEPTS• Computing methodologies → Cognitive robotics."
,Improving Multi-Agent Path Finding via Multi Visual Model and Channel,"Multi-Agent Path Finding (MAPF) aims to plan conflict-free joint optimal paths effectively for a group of agents from their respective starting points to destinations. This task is challenging due to its computational complexity. Current works focus on reducing the number of potential conflicts to further decrease the time required for path planning. In this study, we integrate deep learning-based architecture with the sub-dimension expansion method, aiming to transform the multi-agent pathfinding task into an image classification task. We employ visual models as single-agent path planner to predict optimal path based on the observation space of each agent, which reduces the number of conflicts and improves the performance of the planner significantly. The experimental results show that, in comparison to Learning-Assisted M*, our method achieves a reduction in potential conflicts and implements MAPF task effectively only with a minor increase in time consumption."
,Implementation of a ROS-based Digital Twin Approach of a Multi-Robot Cell for Incremental Manufacturing,"The rise of Industry 4.0 continues to revolutionise modern manufacturing through the integration of digital technologies and automation, opening up opportunities to improve efficiency, increase productivity and reduce costs. One of the key components of this transformation is the concept of digital twins, which allows for the creation of virtual replicas of physical systems, enabling real-time monitoring, control and optimisation through a virtual environment. In the field of industrial robotics, digital twins provide valuable insights into the behaviour and performance of robots, thereby facilitating the optimisation of robotic tasks and movements. With the increasing adoption of digitalisation and automation, digital twins have become an essential tool for manufacturing efficiency and effectiveness. The use of digital twins in robotic environments is therefore a key enabler of Industry 4.0, providing new opportunities to increase the manufacturing productivity through an increased planning and predictive accuracy and enhancing marketability in the global market. This research addresses the development and implementation of a digital twin within the Robot Operating System (ROS) environment for a hybrid multi-robot manufacturing system, providing a comprehensive overview of the required aspects of digitalisation for hybrid robot processes. Based on this setup, a digital twin approach for a multi-robot manufacturing cell is presented and discussed. With the overview and research generated within this publication, further optimisations of hybrid multi-robot cells regarding the interaction of movements and tasks as well as overarching process analysis and optimisation can be developed."
,A 2-stage optimisation approach to ensure security of supply in rural cellular energy structures with solid biomass-based (hybrid) systems,"The aspect of resilience and security of supply of the energy system is increasingly becoming the focus of societal interest. The decentralised use of solid biomass in combination with heat pumps and heat storage in hybrid systems could therefore play an important role. This can be particularly relevant in rural areas where the possibility of a district heating network is not available. Accordingly, it is even more crucial to manage this growing number of decentralised energy assets in order to avoid problematic grid conditions. Cellular energy systems are discussed as a method to organise the high com-plexity of numerous within itself complex systems in the grid from the bottom up. The modelling and mathematical optimisation of such cellular structured systems requires a detailed knowledge of the internal processes and thus a highly sophisticated implementation. A direct feedback between optimal operation and optimal planning is particularly important here, as the optima are interdependent. For this, the concept of a 2-stage optimisation approach of the local aspect is presented in this paper, which additionally considers the autonomous and subsidiary properties of the cellular approach within multi-agent systems. This leads to a value-optimised combination of the cellular approach and solid biomass-based (hybrid) systems with the goal of maximising the impact of the limited potential of biogenic residues."
,Machine learning approaches for offline-programming optimization in robotic painting,"Automatic robot programming is a major challenge to enable the cost-effective usage of robots for the production of small lot sizes and changing variants in painting applications. Offline-Programming (OLP) can be used to generate robot programs in a virtual environment and speed up the programming process with supportive functionalities. However, much human input is still needed to optimize robot programs for a specific painting task. The human operator uses his cognitive skills and experience based on process-specific rules to adapt the programming within the OLP system. The programming approach is an iterative process where the painting quality resulting from an initial robotic program is assessed in a laboratory, and then the program is adapted in the OLP system. It is difficult to model human decisions directly using closed-loop algorithmic approaches. Therefore, we propose five approaches based on machine learning to substitute human intervention throughout the programming process and allow for automatic and optimal robot program generation. The approaches are presented in this paper in a conceptual way showing potentials on the automation using machine-learning techniques. These approaches are: (1) similar program suggestion, (2) surface sequence generation, (3) process parameter optimization, (4) automatic setting of sample-based path planners parameters, and (5) path planning with a trained algorithm."
,DRAE: Dynamic Retrieval-Augmented Expert Networks for Lifelong Learning and Task Adaptation in Robotics,"We introduce Dynamic Retrieval-Augmented Expert Networks (DRAE), a groundbreaking architecture that addresses the challenges of lifelong learning, catastrophic forgetting, and task adaptation by combining the dynamic routing capabilities of Mixture-of-Experts (MoE); leveraging the knowledge-enhancement power of Retrieval-Augmented Generation (RAG); incorporating a novel hierarchical reinforcement learning (RL) framework; and coordinating through ReflexNet-SchemaPlanner-HyperOptima (RSHO).DRAE dynamically routes expert models via a sparse MoE gating mechanism, enabling efficient resource allocation while leveraging external knowledge through parametric retrieval (P-RAG) to augment the learning process. We propose a new RL framework with ReflexNet for low-level task execution, SchemaPlanner for symbolic reasoning, and HyperOptima for long-term context modeling, ensuring continuous adaptation and memory retention. Experimental results show that DRAE significantly outperforms baseline approaches in long-term task retention and knowledge reuse, achieving an average task success rate of 82.5% across a set of dynamic robotic manipulation tasks, compared to 74.2% for traditional MoE models. Furthermore, DRAE maintains an extremely low forgetting rate, outperforming state-of-the-art methods in catastrophic forgetting mitigation. These results demonstrate the effectiveness of our approach in enabling flexible, scalable, and efficient lifelong learning for robotics. © 2025 Association for Computational Linguistics."
,Bayesian Inverse Physics for Neuro-Symbolic Robot Learning,"Real-world robotic applications, from autonomous exploration to assistive technologies, require adaptive, interpretable, and data-efficient learning paradigms. While deep learning architectures and foundation models have driven significant advances in diverse robotic applications, they remain limited in their ability to operate efficiently and reliably in unknown and dynamic environments. In this position paper, we critically assess these limitations and introduce a conceptual framework for combining data-driven learning with deliberate, structured reasoning. Specifically, we propose leveraging differentiable physics for efficient world modeling, Bayesian inference for uncertainty-aware decision-making, and meta-learning for rapid adaptation to new tasks. By embedding physical symbolic reasoning within neural models, robots could generalize beyond their training data, reason about novel situations, and continuously expand their knowledge. We argue that such hybrid neuro-symbolic architectures are essential for the next generation of autonomous systems, and to this end, we provide a research roadmap to guide and accelerate their development. © 2025 O. Arriaga, R. Adam, M. Laux, L. Gutzeit, M. Ragni, J. Peters & F. Kirchner."
,JARVIS: A Neuro-Symbolic Commonsense Reasoning Framework for Conversational Embodied Agents,"Building a conversational embodied agent to execute real-life tasks has been a long-standing yet quite challenging research goal, as it requires effective human-agent communication, multi-modal understanding, long-range sequential decision making, etc. Traditional symbolic methods have scaling and generalization issues, while end-to-end deep learning models suffer from data scarcity and high task complexity, and are often hard to explain. Tobenefit from both worlds, we propose JARVIS, a neuro-symbolic commonsense reasoning framework for modular, generalizable, and interpretable conversational embodied agents. First, it acquires symbolic representations by prompting large language models (LLMs) for language understanding and sub-goal planning, and by constructing semantic maps from visual observations. Then the symbolic module reasons for sub-goal planning and action generation based on task- and action-level common sense. Extensive experiments on the TEACh dataset validate the efficacy and efficiency of our JARVIS framework, which achieves state-of-the-art (SOTA) results on all three dialog-based embodied tasks, including Execution from Dialog History (EDH), Trajectory from Dialog (TfD), and Two-Agent Task Completion (TATC) (e.g., our method boosts the unseen Success Rate on EDH from6.1% to 15.8%). Moreover, we systematically analyze the essential factors that affect the task performance and also demonstrate the superiority of our method in few-shot settings. Our JARVIS model ranks first in the Alexa Prize SimBot Public Benchmark Challenge. © 2025 K. Zheng, K. Zhou, J. Gu, Y. Fan, J. Wang, Z. Di, X. He & X.E. Wang."
