"Document Title","DOI","Link","Abstract"
"Towards artificial intelligence-enabled autonomous battery prognostics and management","10.1016/j.jechem.2025.09.081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020664652&doi=10.1016%2Fj.jechem.2025.09.081&partnerID=40&md5=5f00f94b3e6775f6f326108f6841aa7e","Reliable and safe operation of batteries is increasingly challenged by diverse operating conditions and stringent demands for system resilience. Artificial intelligence (AI) has emerged as a transformative enabler of battery health management, offering capabilities beyond traditional models. This review provides a structured synthesis of recent progress in AI-enabled diagnostics. Advances in state estimation—including state of health (SOH) and remaining useful life (RUL)—are first examined, with methodological breakthroughs identified across diverse task formulations. The evolution of AI architectures is then traced, from conventional neural networks to attention-based Transformers, physics-informed models, and federated learning, with particular attention to emerging paradigms such as foundation models, neuro-symbolic reasoning, and quantum machine learning that promise improved robustness and interpretability. To bridge laboratory innovation with deployment, a domain-adaptive four-stage data pipeline has emerged as a promising framework for real-world BMS signals—spanning operational segmentation, multi-scale denoising, degradation-aware feature engineering, and structured sample construction—designed to enhance generalization under heterogeneous and noisy conditions. Looking forward, a technological roadmap is outlined that integrates edge AI, digital twins, AIOps, quantum computing, wireless sensing, and self-repair systems. Collectively, these innovations transform batteries from passive energy reservoirs into intelligent cyber-physical agents endowed with perception, autonomous decision-making, and resilient fault response—paving the way toward truly battery-centric autonomous energy systems. © 2025 Science Press"
"Hybrid of representation learning and reinforcement learning for dynamic and complex robotic motion planning","10.1016/j.robot.2025.105167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014022990&doi=10.1016%2Fj.robot.2025.105167&partnerID=40&md5=d0fa774cc323c437026be6ee05fa990d","Motion planning is the soul of robot decision making. Classical planning algorithms like graph search and reaction-based algorithms face challenges in cases of dense and dynamic obstacles. Deep learning algorithms generate suboptimal one-step predictions that cause many collisions. Reinforcement learning algorithms generate optimal or near-optimal time-sequential predictions. However, they suffer from slow convergence, suboptimal converged results, and unstable training. This paper introduces a hybrid algorithm for robotic motion planning: long short-term memory (LSTM) and skip connection for attention-based discrete soft actor critic (LSA-DSAC). First, graph network (relational graph) and attention network (attention weight) interpret the environmental state for the learning of the discrete soft actor critic algorithm. The expressive power of attention network outperforms that of graph in our task by difference analysis of these two representation methods. However, attention based DSAC faces the problem of unstable training (vanishing gradient). Second, the skip connection method is integrated to attention based DSAC to mitigate unstable training and improve convergence speed. Third, LSTM is taken to replace the sum operator of attention weigh and eliminate unstable training by slightly sacrificing convergence speed at early-stage training. Experiments show that LSA-DSAC outperforms the state-of-the-art in training and most evaluations. Physical robots are also implemented and tested in the real world. © 2025 The Author(s)"
"Probabilistic Sampling Networks for Hybrid Structure Planning in Semi-Structured Environments","10.3390/s25206476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020256331&doi=10.3390%2Fs25206476&partnerID=40&md5=dba3ab9f3c30f16733b441f6c4f3316e","Highlights: What are the main findings? A hybrid structure planning method based on a Probabilistic Sampling Network (PSNet) and an Enhanced Artificial Potential Field (EAPF) is proposed to address high-dimensional robot motion planning in semi-structured environments. Experiments demonstrate that the proposed method outperforms MPNet and RRT-Connect in both 2-D point-mass robot and 6-DOF manipulator tasks, achieving higher success rates and more stable collision avoidance. What is the implication of the main finding? The proposed approach enhances the adaptability and robustness of industrial robots in intelligent manufacturing, maintaining efficient path planning in dynamic and complex scenarios. This study provides a new perspective for integrating learning-based methods with classical planning techniques, laying the foundation for future applications in autonomous robotic operations and human–robot collaboration. The advancement of adaptable industrial robots in intelligent manufacturing is hindered by the inefficiency of traditional motion planning methods in high-dimensional spaces. Therefore, a Dempster–Shafer evidence theory-based hybrid motion planner is proposed, in which a probabilistic sampling network (PSNet) and an enhanced artificial potential field (EAPF) cooperate with each other to improve the planning performance. The PSNet architecture comprises two modules: a motion planning module (MPM) and a fusion sampling module (FSM). The MPM utilizes sensor data alongside the robot’s current and target configurations to recursively generate diverse multimodal distributions of the next configuration. Based on the distribution information, the FSM was used as a decision-maker to ultimately generate globally connectable paths. Moreover, the FSM is equipped to correct collision path points caused by network inaccuracies through Gaussian resampling. Simultaneously, an augmented artificial potential field with a dynamic rotational field is deployed to repair local paths when worst-case collision scenarios occur. This collaborative strategy harmoniously unites the complementary strengths of both components, thereby enhancing the overall resilience and adaptability of the motion planning system. Experiments were conducted in various environments. The results demonstrate that the proposed method can quickly find directly connectable paths in diverse environments while reliably avoiding sudden obstacles. © 2025 by the authors."
"Interactive Environment-Aware Planning System and Dialogue for Social Robots in Early Childhood Education","10.3390/app152011107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020009834&doi=10.3390%2Fapp152011107&partnerID=40&md5=a2ccdcc8bbcf34791ee14d09caffa804","In this study, we propose an interactive environment-aware dialog and planning system for social robots in early childhood education, aimed at supporting the learning and social interaction of young children. The proposed architecture consists of three core modules. First, semantic simultaneous localization and mapping (SLAM) accurately perceives the environment by constructing a semantic scene representation that includes attributes such as position, size, color, purpose, and material of objects, as well as their positional relationships. Second, the automated planning system enables stable task execution even in changing environments through planning domain definition language (PDDL)-based planning and replanning capabilities. Third, the visual question answering module leverages scene graphs and SPARQL conversion of natural language queries to answer children’s questions and engage in context-based conversations. The experiment conducted in a real kindergarten classroom with children aged 6 to 7 years validated the accuracy of object recognition and attribute extraction for semantic SLAM, the task success rate of the automated planning system, and the natural language question answering performance of the visual question answering (VQA) module.The experimental results confirmed the proposed system’s potential to support natural social interaction with children and its applicability as an educational tool. © 2025 by the authors."
"Experience-Driven NeuroSymbolic System for Efficient Robotic Bolt Disassembly","10.3390/batteries11090332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017010249&doi=10.3390%2Fbatteries11090332&partnerID=40&md5=0a9b6756ba2d98e5e0f2370708237efa","With the rapid growth of electric vehicles, the efficient and safe recycling of high-energy battery packs, particularly the removal of structural bolts, has become a critical challenge. This study presents a NeuroSymbolic robotic system for battery disassembly, driven by autonomous learning capabilities. The system integrates deep perception modules, symbolic reasoning, and action primitives to achieve interpretable and efficient disassembly. To improve adaptability, we introduce an offline learning framework driven by a large language model (LLM), which analyzes historical disassembly trajectories and generates optimized action sequences via prompt-based reasoning. This enables the synthesis of new action primitives tailored to familiar scenarios. The system is validated on a real-world UR10e robotic platform across various battery configurations. Experimental results show a 17 s reduction in average disassembly time per bolt and a 154.4% improvement in overall efficiency compared with traditional approaches. These findings demonstrate that combining neural perception, symbolic reasoning, and LLM-guided learning significantly enhances robotic disassembly performance and offers strong potential for generalization in future battery recycling applications. © 2025 by the authors."
"Comparative Benchmark of Sampling-Based and DRL Motion Planning Methods for Industrial Robotic Arms","10.3390/s25175282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015894601&doi=10.3390%2Fs25175282&partnerID=40&md5=87e58fb55e71fe252400e948e067aee8","This study presents a comprehensive comparison between classical sampling-based motion planners from the Open Motion Planning Library (OMPL) and a learning-based planner based on Soft Actor–Critic (SAC) for motion planning in industrial robotic arms. Using a UR3e robot equipped with an RG2 gripper, we constructed a large-scale dataset of over 100,000 collision-free trajectories generated with MoveIt-integrated OMPL planners. These trajectories were used to train a DRL agent via curriculum learning and expert demonstrations. Both approaches were evaluated on key metrics such as planning time, success rate, and trajectory smoothness. Results show that the DRL-based planner achieves higher success rates and significantly lower planning times, producing more compact and deterministic trajectories. Time-optimal parameterization using TOPPRA ensured the dynamic feasibility of all trajectories. While classical planners retain advantages in zero-shot adaptability and environmental generality, our findings highlight the potential of DRL for real-time and high-throughput motion planning in industrial contexts. This work provides practical insights into the trade-offs between traditional and learning-based planning paradigms, paving the way for hybrid architectures that combine their strengths. © 2025 by the authors."
"Vision-Based Navigation and Perception for Autonomous Robots: Sensors, SLAM, Control Strategies, and Cross-Domain Applications—A Review","10.3390/eng6070153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011609737&doi=10.3390%2Feng6070153&partnerID=40&md5=18d46b7a0b789c2b9200a4be5065e95f","Camera-centric perception has matured into a cornerstone of modern autonomy, from self-driving cars and factory cobots to underwater and planetary exploration. This review synthesizes more than a decade of progress in vision-based robotic navigation through an engineering lens, charting the full pipeline from sensing to deployment. We first examine the expanding sensor palette—monocular and multi-camera rigs, stereo and RGB-D devices, LiDAR–camera hybrids, event cameras, and infrared systems—highlighting the complementary operating envelopes and the rise of learning-based depth inference. The advances in visual localization and mapping are then analyzed, contrasting sparse and dense SLAM approaches, as well as monocular, stereo, and visual–inertial formulations. Additional topics include loop closure, semantic mapping, and LiDAR–visual–inertial fusion, which enables drift-free operation in dynamic environments. Building on these foundations, we review the navigation and control strategies, spanning classical planning, reinforcement and imitation learning, hybrid topological–metric memories, and emerging visual language guidance. Application case studies—autonomous driving, industrial manipulation, autonomous underwater vehicles, planetary rovers, aerial drones, and humanoids—demonstrate how tailored sensor suites and algorithms meet domain-specific constraints. Finally, the future research trajectories are distilled: generative AI for synthetic training data and scene completion; high-density 3D perception with solid-state LiDAR and neural implicit representations; event-based vision for ultra-fast control; and human-centric autonomy in next-generation robots. By providing a unified taxonomy, a comparative analysis, and engineering guidelines, this review aims to inform researchers and practitioners designing robust, scalable, vision-driven robotic systems. © 2025 by the authors."
"Explainable Robot Navigation","10.1609/aaai.v39i28.35208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003905465&doi=10.1609%2Faaai.v39i28.35208&partnerID=40&md5=435501b37afaf0b1490ce12aaf62840e","As the use of autonomous mobile robots expands into dynamic and complex environments, the need for them to provide understandable explanations for their actions becomes crucial. This thesis addresses the challenge of developing explainability for robot navigation by leveraging a hybrid model that combines machine learning techniques with symbolic reasoning methods. Furthermore, the thesis explores the modeling of human explanation preferences and the impact of different explanation attributes on explanation recipients' understanding, satisfaction, and trust. The goal is to integrate different explanation aspects and approaches into a unified framework to support explainable navigation in robotics. © © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved."
"Large Language Models as Narrative Planning Search Guides","10.1109/TG.2024.3487416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208225574&doi=10.1109%2FTG.2024.3487416&partnerID=40&md5=30848083fcb72b866c9db105c6e63197","Symbolic planning algorithms and large language models have different strengths and weaknesses for story generation, suggesting hybrid models might leverage advantages from both. Others have proposed using a language model in combination with a partial order planning style algorithm to avoid the need for a hand-written symbolic domain of actions, or generating these domains from natural language input. This article offers a complementary approach. We propose to use a state space planning algorithm to plan coherent multiagent stories using hand-written symbolic domains, but with a language model acting as a guide to estimate, which events are worth exploring first. We present an initial evaluation of this approach on a set of benchmark narrative planning problems. © 2018 IEEE."
"CLIP-LLM: A Framework for Autonomous Plant Disease Management in Greenhouse","10.5220/0013674200003982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022129202&doi=10.5220%2F0013674200003982&partnerID=40&md5=5a3e084ad20ed199ba3e6349e6b06cd6","Agricultural disease detection and intervention remain challenging due to complex crop health variations, dynamic environmental conditions, and labor-intensive fieldwork. We introduce an end-to-end, platform-agnostic robotic pipeline for autonomous disease detection and treatment systems, with a specific focus on cassava leaves as an example. The pipeline integrates a vision-language perception module based on a pretrained Contrastive Language-Image Pre-training (CLIP) model, fine-tuned on an augmented dataset of cassava leaf images for disease detection. High-level task planning is performed by a Generative Pre-trained Transformer 4 (GPT-4), which interprets perception outputs and generates symbolic action plans (e.g., navigate to target, perform treatment). The low-level control system is implemented in the PyBullet dynamic simulator. We evaluated a vision-language model (VLM) perception and a Large Language Model (LLM) based planning system (in a virtual environment with predefined 3D coordinates for plant and spray positions). The VLM achieved 83% classification accuracy in simulation and real-time tests with a static camera produced classification accuracies of 70% Cassava Brown Streak Disease (CBSD), 65% Cassava Mosaic Disease (CMD) and 52% Cassava Bacterial Blight (CBB), and under dynamic camera it achieve the accuracy of 65% (CBSD), 52% (CMD), and 32% (CBB). Currently, our low-level controller executes the LLM-generated plans with high precision (less than ±2 mm positioning error). These results demonstrate the viability of our platform-agnostic modular architecture for precision agriculture that supports closed-loop robustness and scalability. © 2025 by SCITEPRESS–Science and Technology Publications, Lda."
