id,primary_challenges
Paper_04,Explainability;Long-Horizon Failure;;
Paper_06,Data Inefficiency;Explainability;Brittleness;
Paper_08,Safety & Compliance;Explainability;;
Paper_09,Agent Capabilities;;;
Paper_10,Long-Horizon Failure;Unstructured Environments;;
Paper_13,Explainability;Unstructured Environments;Brittleness;
Paper_14,Explainability;Safety & Compliance;Brittleness;
Paper_16,Explainability;Safety & Compliance;Long-Horizon Failure;
Paper_18,Safety & Compliance;Brittleness;;
Paper_19,Computational Performance;Long-Horizon Failure;Explainability;
Paper_20,Explainability;Unstructured Environments;;
Paper_21,Brittleness;Unstructured Environments;Long-Horizon Failure;
Paper_22,Unstructured Environments;;;
Paper_23,Long-Horizon Failure;Unstructured Environments;Brittleness;
Paper_24,Safety & Compliance;Long-Horizon Failure;;
Paper_25,Brittleness;Explainability;Unstructured Environments;
Paper_26,Brittleness;Long-Horizon Failure;;
Paper_27,Safety & Compliance;;;
Paper_28,Long-Horizon Failure;;;
Paper_29,Long-Horizon Failure;Computational Performance;;
Paper_30,Long-Horizon Failure;Computational Performance;;
Paper_31,Computational Performance;Agent Capabilities;;
Paper_32,Computational Performance;;;
Paper_38,Computational Performance;Explainability;Brittleness;Unstructured Environments
Paper_39,Safety & Compliance;Long-Horizon Failure;;
Paper_40,Brittleness;Explainability;Computational Performance;
Paper_41,Unstructured Environments;Explainability;Computational Performance;
Paper_42,Safety & Compliance;Long-Horizon Failure;Brittleness;
Paper_45,Unstructured Environments;Long-Horizon Failure;Agent Capabilities;
Paper_46,Unstructured Environments;Data Inefficiency;Brittleness;
Paper_47,Unstructured Environments;Computational Performance;;
Paper_50,Brittleness;Agent Capabilities;;
Paper_51,Data Inefficiency;Safety & Compliance;Unstructured Environments;
Paper_52,Brittleness;Computational Performance;;
Paper_53,Computational Performance;Computational Performance;;
Paper_55,Brittleness;Explainability;;
Paper_56,Unstructured Environments;Brittleness;Computational Performance;
Paper_59,Unstructured Environments;;;
Paper_61,Long-Horizon Failure;Computational Performance;Explainability;
Paper_62,Computational Performance;;;
Paper_64,Explainability;Unstructured Environments;;
Paper_65,Computational Performance;Brittleness;;
Paper_66,Computational Performance;Safety & Compliance;;
Paper_67,Unstructured Environments;Explainability;;
Paper_69,Unstructured Environments;Data Inefficiency;;
Paper_70,Unstructured Environments;;;
Paper_76,Data Inefficiency;Explainability;Computational Performance;
Paper_77,Long-Horizon Failure;Safety & Compliance;Explainability;
Paper_78,Long-Horizon Failure;Unstructured Environments;;
Paper_79,Unstructured Environments;Brittleness;;
Paper_80,Agent Capabilities;;;
Paper_81,Long-Horizon Failure;;;
Paper_82,Safety & Compliance;Explainability;;
Paper_83,Long-Horizon Failure;Unstructured Environments;;
Paper_85,Long-Horizon Failure;;;
