id,self_correction
Paper_04,Intrinsic;;
Paper_06,Intrinsic;;
Paper_08,Extrinsic;;
Paper_09,Extrinsic;;
Paper_10,Extrinsic;;
Paper_13,Intrinsic;;
Paper_14,Extrinsic;;
Paper_16,Formal Verification;;
Paper_18,Intrinsic;;
Paper_19,N/A;;
Paper_20,Intrinsic;;
Paper_21,Intrinsic;;
Paper_22,Formal Verification;;
Paper_23,Extrinsic;;
Paper_24,Extrinsic;;
Paper_25,Multi-Agent Audit;;
Paper_26,Extrinsic;;
Paper_27,Extrinsic;;
Paper_28,N/A;;
Paper_29,Formal Verification;;
Paper_30,Multi-Agent Audit;;
Paper_31,Extrinsic;;
Paper_32,Formal Verification;;
Paper_38,Intrinsic;;
Paper_39,Multi-Agent Audit;;
Paper_40,Intrinsic;;
Paper_41,Extrinsic;Multi-Agent Audit;
Paper_42,Extrinsic;Human-in-the-Loop;
Paper_45,Extrinsic;;
Paper_46,Extrinsic;;
Paper_47,Intrinsic;;
Paper_50,Intrinsic;Extrinsic;Human-in-the-Loop
Paper_51,Intrinsic;;
Paper_52,Extrinsic;;
Paper_53,Extrinsic;;
Paper_55,Formal Verification;;
Paper_56,Intrinsic;;
Paper_59,Formal Verification;;
Paper_61,Multi-Agent Audit;;
Paper_62,Intrinsic;;
Paper_64,Extrinsic;;
Paper_65,Intrinsic;;
Paper_66,Intrinsic;Extrinsic;
Paper_67,Intrinsic;;
Paper_69,Intrinsic;Human-in-the-Loop;
Paper_70,Extrinsic;;
Paper_76,N/A;;
Paper_77,Human-in-the-Loop;;
Paper_78,N/A;;
Paper_79,N/A;;
Paper_80,N/A;;
Paper_81,N/A;;
Paper_82,Extrinsic;;
Paper_83,Extrinsic;;
Paper_85,Extrinsic;;
