id,venue_name_clean
Paper_04,AAMAS (Workshop)
Paper_06,ICLP
Paper_07,ICAPS
Paper_08,AIES
Paper_09,SAC
Paper_10,AAAI
Paper_13,New Generation Computing
Paper_15,ICOCT
Paper_14,ICAD
Paper_16,SIMPAR
Paper_18,IEEE Robotics and Automation Letters
Paper_19,IEEE Transactions on Games
Paper_20,Mathematical Biosciences and Engineering
Paper_21,ICRA
Paper_22,IROS
Paper_23,IROS
Paper_44,IEEE Access
Paper_24,PSGEC
Paper_25,IHCIT
Paper_26,ICMNWC
Paper_48,ICMLT
Paper_27,ETNCC
Paper_28,ICRA
Paper_29,ICRA
Paper_30,ICRA
Paper_31,ICARM
Paper_32,Frontiers in Neurorobotics
Paper_38,Frontiers in Robotics and AI
Paper_39,Proceedings of the VLDB Endowment
Paper_40,ACM Transactions on Autonomous and Adaptive Systems
Paper_41,ACM Transactions on Internet of Things
Paper_42,ACM Transactions on Cyber-Physical Systems
Paper_45,IEEE Access
Paper_46,IROS
Paper_47,IEEE Transactions on Robotics
Paper_49,AISTS
Paper_50,ETFA
Paper_51,IEEE Access
Paper_52,Batteries
Paper_53,IEEE Transactions on Cognitive Communications and Networking
Paper_54,IT Professional
Paper_55,ERAS
Paper_56,ICRA
Paper_59,AAMAS
Paper_61,CIKM
Paper_62,AAMAS
Paper_64,AAMAS
Paper_65,AAMAS
Paper_66,WWW
Paper_67,AAMAS
Paper_69,SIGdial
Paper_70,AAAI
Paper_76,AAAI
Paper_77,CHI
Paper_78,Frontiers in Robotics and AI
Paper_79,Journal of Artificial Intelligence Research
Paper_80,AAMAS
Paper_81,arXiv
Paper_82,AAMAS
Paper_83,arXiv
Paper_85,ICRA
